review_point,paper_id,focused_review,helpfulness_label,chatgpt_helpfulness_definitions_score,chatgpt_helpfulness_definitions_rationale,chatgpt_helpfulness_definitions_examples_score,chatgpt_helpfulness_definitions_examples_rationale,chatgpt_helpfulness_definitions_incontext_learning_score,chatgpt_helpfulness_definitions_incontext_learning_rationale
"2. The evaluation on the word analogy task seems a bit unfair given that the semantic relations are explicitly encoded by the sememes, as the authors themselves point out (more details below).",ACL_2017_318_review,"1. Presentation and clarity: important details with respect to the proposed models are left out or poorly described (more details below). Otherwise, the paper generally reads fairly well; however, the manuscript would need to be improved if accepted.
2. The evaluation on the word analogy task seems a bit unfair given that the semantic relations are explicitly encoded by the sememes, as the authors themselves point out (more details below).
- General Discussion: 1. The authors stress the importance of accounting for polysemy and learning sense-specific representations. While polysemy is taken into account by calculating sense distributions for words in particular contexts in the learning procedure, the evaluation tasks are entirely context-independent, which means that, ultimately, there is only one vector per word -- or at least this is what is evaluated. Instead, word sense disambiguation and sememe information are used for improving the learning of word representations. This needs to be clarified in the paper.
2. It is not clear how the sememe embeddings are learned and the description of the SSA model seems to assume the pre-existence of sememe embeddings. This is important for understanding the subsequent models. Do the SAC and SAT models require pre-training of sememe embeddings?
3. It is unclear how the proposed models compare to models that only consider different senses but not sememes. Perhaps the MST baseline is an example of such a model? If so, this is not sufficiently described (emphasis is instead put on soft vs. hard word sense disambiguation). The paper would be stronger with the inclusion of more baselines based on related work.
4. A reasonable argument is made that the proposed models are particularly useful for learning representations for low-frequency words (by mapping words to a smaller set of sememes that are shared by sets of words). Unfortunately, no empirical evidence is provided to test the hypothesis. It would have been interesting for the authors to look deeper into this. This aspect also does not seem to explain the improvements much since, e.g., the word similarity data sets contain frequent word pairs.
5. Related to the above point, the improvement gains seem more attributable to the incorporation of sememe information than word sense disambiguation in the learning procedure. As mentioned earlier, the evaluation involves only the use of context-independent word representations. Even if the method allows for learning sememe- and sense-specific representations, they would have to be aggregated to carry out the evaluation task.
6. The example illustrating HowNet (Figure 1) is not entirely clear, especially the modifiers of ""computer"".
7. It says that the models are trained using their best parameters. How exactly are these determined? It is also unclear how K is set -- is it optimized for each model or is it randomly chosen for each target word observation? Finally, what is the motivation for setting K' to 2?",3.0,3,"the comment identifies a potential issue with the evaluation on the word analogy task, noting that the semantic relations might be explicitly encoded by the sememes. however, it is somewhat vague and lacks specific details about how this impacts the fairness of the evaluation or how the authors might address this issue, leaving it somewhat incomplete. it provides a point of consideration for the authors, which can lead to improvement, but does not offer substantial guidance or actionable steps.",3,"the comment identifies a potential issue in the evaluation method of the word analogy task, pointing out the explicit encoding of semantic relations by the sememes. however, the feedback is somewhat incomplete, as it mentions more details below but does not provide immediate actionable suggestions or fully elaborate on how this affects the evaluation's fairness. thus, while it provides a helpful insight, it lacks depth, which limits its helpfulness.",3,"the comment is somewhat helpful as it highlights a potential issue with the evaluation on the word analogy task, suggesting an area for improvement. however, it lacks specific guidance on addressing the concern, making the feedback less actionable for the authors."
"- You mention that you only select 10 answers from all correct answers, why do you do this? Does this affect the underestimation of the performances?",ARR_2022_23_review,"The technical novelty is rather lacking. Although I believe this doesn't affect the contribution of this paper.
- You mention that you only select 10 answers from all correct answers, why do you do this? Does this affect the underestimation of the performances?
- Do you think generative PLMs that are pretrained on biomedical texts could be more suitable for solving the multi-token problem?",3.0,3,"the comment identifies a potential weakness in the methodology by questioning the rationale behind selecting only 10 answers, which might lead to an underestimation of performance. however, it lacks depth and does not offer specific suggestions or guidance on how the authors could address this issue, thus only providing limited actionable feedback.",3,"the review point identifies an area for clarification regarding the selection of 10 answers, potentially impacting the performance evaluation. however, it lacks depth by not suggesting concrete ways the authors could address this issue or expand on how it affects the study's conclusions. the comment gives some guidance on an area needing improvement but does not fully outline the steps to address it, making it only somewhat helpful.",3,"the comment is somewhat helpful as it raises a concern about the selection of answers and its potential impact on performance estimation. however, it does not provide a specific suggestion or next step for the authors to address this issue."
"1) Is it necessary to treat concept map extraction as a separate task? On the one hand, many generic summarization systems build a similar knowledge graph and then generate summaries accordingly. On the other hand, with the increase of the node number, the concept map becomes growing hard to distinguish. Thus, the general summaries should be more readable.",ACL_2017_331_review,"The document-independent crowdsourcing annotation is unreliable. - General Discussion: This work creates a new benchmark corpus for concept-map-based MDS. It is well organized and written clearly. The supplement materials are sufficient. I have two questions here.
1) Is it necessary to treat concept map extraction as a separate task?
On the one hand, many generic summarization systems build a similar knowledge graph and then generate summaries accordingly. On the other hand, with the increase of the node number, the concept map becomes growing hard to distinguish. Thus, the general summaries should be more readable.
2) How can you determine the importance of a concept independent of the documents? The definition of summarization is to reserve the main concepts of documents. Therefore, the importance of a concept highly depends on the documents. For example, in the given topic of coal mining accidents, assume there are two concepts: A) an instance of coal mining accidents and B) a cause of coal mining accidents. Then, if the document describes a series of coal mining accidents, A is more important than B. In comparison, if the document explores why coal mining accidents happen, B is more significant than A. Therefore, just given the topic and two concepts A&B, it is impossible to judge their relative importance.
I appreciate the great effort spent by authors to build this dataset. However, this dataset is more like a knowledge graph based on common sense rather than summary.",3.0,2,"the comment brings up an interesting point about the necessity of treating concept map extraction as a separate task and highlights the challenges with readability as the node number increases. however, it is barely helpful because it lacks specific actionable suggestions or detailed guidance for the authors on how to address the concern. the authors may find it difficult to derive concrete next steps for improving their draft based on this feedback alone.",3,"the review point identifies a potential weakness in the necessity of treating concept map extraction as a separate task, but it does not provide a clear rationale or actionable suggestions for improvement. the comment raises a relevant point regarding the readability of general summaries as the node number increases, suggesting some insight into potential readability issues. however, it lacks specific guidance or clarity on how the authors might address the concern, leaving it incomplete and somewhat helpful.",4,"the comment is mostly helpful as it raises a relevant question about the necessity of treating concept map extraction as a separate task. it also provides specific points for the authors to consider regarding the implications of current approaches and the challenges posed by the increase in node numbers. the feedback could be expanded with more specific suggestions, but it still offers valuable guidance for authors to refine their draft."
"- When trained and evaluated with the same time-step, Figure 5 shows similar performance between the baseline model and the time-aware model. This makes the effectiveness of the proposed methods questionable when the goal is just to achieve good performance. Maybe under some scenarios where the training time-step and evaluation time-step are different, the proposed method might make more sense.",8lwWBSa1pJ,"- The motivation referring to the Nyquist-Shannon sampling theorem does not seem to be consistent with the observation of numerical experiments. From the sampling theorem, as long as the sampling frequency is high enough, there won't be any information loss. But the numerical experiments suggest that the non time-aware model performs poorly even when the sampling frequency is the highest. This inconsistency makes the connection to the sampling theorem questionable.
- During the training phase, the sampling step is randomly selected from a log-uniform distribution. It is suggested that this distribution helps stabilize the training process, but no theoretical nor numerical analysis is provided. Some ablation studies using different sampling distribution might provide some insights to the choice.
- In the numerical evaluation, performance is compared across different observation rate. Given any time-step, the time-aware model can provide the appropriate prediction by conditioning on the time-step. But for the model trained with a fixed time-step, the information of the observation time-step does not seem to be adjusted. For example, for a model trained with $\Delta t=1$ms, when evaluating at $\Delta t=2$ms, instead of applying the model once, one might want to apply the model twice to have a more accurate prediction given the knowledge of the doubled time-step. Without doing some kind of adjustments for the baseline models make the fairness of comparisons questionable.
- When trained and evaluated with the same time-step, Figure 5 shows similar performance between the baseline model and the time-aware model. This makes the effectiveness of the proposed methods questionable when the goal is just to achieve good performance. Maybe under some scenarios where the training time-step and evaluation time-step are different, the proposed method might make more sense.",3.0,3,"the review point raises a legitimate concern about the effectiveness of the proposed method, as it questions whether the time-aware model provides significant benefits when trained and evaluated at the same time-step. however, it lacks depth and specificity in terms of providing actionable suggestions or alternative approaches. while it hints that the proposed method may be more effective under different scenarios, it does not offer concrete examples or guidance on how to test or address this issue. therefore, it is somewhat helpful, but not sufficiently detailed to guide the authors in making significant improvements to their draft.",3,"the comment identifies a potential issue with the proposed methods, specifically questioning their effectiveness when trained and evaluated under the same time-step conditions. it hints at the possibility that the method might be more applicable under different conditions but does not offer specific guidance or fully analyze alternative scenarios. the authors can gain some insight from this observation, but it lacks sufficient depth and actionable advice to significantly aid them in improving their draft. therefore, it falls under the 'somewhat helpful' category, as it points out a weakness but does not provide comprehensive guidance for addressing it.",5,"the comment is highly helpful as it identifies a potential limitation in the current evaluation setup and suggests a specific scenario where the proposed method might demonstrate its advantages. this provides clear guidance for the authors on how to potentially strengthen their arguments and improve their evaluations, making it an actionable and constructive piece of feedback."
"5) The paper contains many empirical results and analyses, and it makes a concerted effort to put them together; but I still found it difficult to get the whole picture: What is it exactly that the experiments in the paper tell us about the underlying research question in general, and the specific hypothesis tested in particular? How do the different pieces of the puzzle that they present fit together?",ACL_2017_489_review,"1) The main weakness for me is the statement of the specific hypothesis, within the general research line, that the paper is probing: I found it very confusing. As a result, it is also hard to make sense of the kind of feedback that the results give to the initial hypothesis, especially because there are a lot of them and they don't all point in the same direction.
The paper says: ""This paper pursues the hypothesis that an accurate model of referential word meaning does not need to fully integrate visual and lexical knowledge (e.g. as expressed in a distributional vector space), but at the same time, has to go beyond treating words as independent labels.""
The first part of the hypothesis I don't understand: What is it to fully integrate (or not to fully integrate) visual and lexical knowledge? Is the goal simply to show that using generic distributional representation yields worse results than using specific, word-adapted classifiers trained on the dataset?
If so, then the authors should explicitly discuss the bounds of what they are showing: Specifically, word classifiers must be trained on the dataset itself and only word classifiers with a sufficient amount of items in the dataset can be obtained, whereas word vectors are available for many other words and are obtained from an independent source (even if the cross-modal mapping itself is trained on the dataset); moreover, they use the simplest Ridge Regression, instead of the best method from Lazaridou et al. 2014, so any conclusion as to which method is better should be taken with a grain of salt. However, I'm hoping that the research goal is both more constructive and broader. Please clarify. 2) The paper uses three previously developed methods on a previously available dataset. The problem itself has been defined before (in Schlangen et al.). In this sense, the originality of the paper is not high. 3) As the paper itself also points out, the authors select a very limited subset of the ReferIt dataset, with quite a small vocabulary (159 words). I'm not even sure why they limited it this way (see detailed comments below).
4) Some aspects could have been clearer (see detailed comments).
5) The paper contains many empirical results and analyses, and it makes a concerted effort to put them together; but I still found it difficult to get the whole picture: What is it exactly that the experiments in the paper tell us about the underlying research question in general, and the specific hypothesis tested in particular? How do the different pieces of the puzzle that they present fit together?
- General Discussion: [Added after author response] Despite the weaknesses, I find the topic of the paper very relevant and also novel enough, with an interesting use of current techniques to address an ""old"" problem, REG and reference more generally, in a way that allows aspects to be explored that have not received enough attention. The experiments and analyses are a substantial contribution, even though, as mentioned above, I'd like the paper to present a more coherent overall picture of how the many experiments and analyses fit together and address the question pursued.
- Detailed comments: Section 2 is missing the following work in computational semantic approaches to reference: Abhijeet Gupta, Gemma Boleda, Marco Baroni, and Sebastian Pado. 2015. Distributional vectors encode referential attributes.
Proceedings of EMNLP, 12-21 Aurelie Herbelot and Eva Maria Vecchi. 2015.
Building a shared world: mapping distributional to model-theoretic semantic spaces. Proceedings of EMNLP, 22–32.
142 how does Roy's work go beyond early REG work?
155 focusses links 184 flat ""hit @k metric"": ""flat""?
Section 3: please put the numbers related to the dataset in a table, specifying the image regions, number of REs, overall number of words, and number of object names in the original ReferIt dataset and in the version you use. By the way, will you release your data? I put a ""3"" for data because in the reviewing form you marked ""Yes"" for data, but I can't find the information in the paper.
229 ""cannot be considered to be names"" ==> ""image object names"" 230 what is ""the semantically annotated portion"" of ReferIt?
247 why don't you just keep ""girl"" in this example, and more generally the head nouns of non-relational REs? More generally, could you motivate your choices a bit more so we understand why you ended up with such a restricted subset of ReferIt?
258 which 7 features? ( list) How did you extract them?
383 ""suggest that lexical or at least distributional knowledge is detrimental when learning what a word refers to in the world"": How does this follow from the results of Frome et al. 2013 and Norouzi et al. 2013? Why should cross-modal projection give better results? It's a very different type of task/setup than object labeling.
394-395 these numbers belong in the data section Table 1: Are the differences between the methods statistically significant?
They are really numerically so small that any other conclusion to ""the methods perform similarly"" seems unwarranted to me. Especially the ""This suggests..."" part (407). Table 1: Also, the sim-wap method has the highest accuracy for hit @5 (almost identical to wac); this is counter-intuitive given the @1 and @2 results. Any idea of what's going on?
Section 5.2: Why did you define your ensemble classifier by hand instead of learning it? Also, your method amounts to majority voting, right? Table 2: the order of the models is not the same as in the other tables + text.
Table 3: you report cosine distances but discuss the results in terms of similarity. It would be clearer (and more in accordance with standard practice in CL imo) if you reported cosine similarities.
Table 3: you don't comment on the results reported in the right columns. I found it very curious that the gold-top k data similarities are higher for transfer+sim-wap, whereas the results on the task are the same. I think that you could squeeze more information wrt the phenomenon and the models out of these results.
496 format of ""wac"" Section 6 I like the idea of the task a lot, but I was very confused as to how you did and why: I don't understand lines 550-553. What is the task exactly? An example would help. 558 ""Testsets"" 574ff Why not mix in the train set examples with hypernyms and non-hypernyms?
697 ""more even"": more wrt what?
774ff ""Previous cross-modal mapping models ... force..."": I don't understand this claim.
792 ""larger test sets"": I think that you could even exploit ReferIt more (using more of its data) before moving on to other datasets.",3.0,3,"the comment identifies a significant weakness regarding the clarity and integration of the empirical results in relation to the research question and hypothesis. however, it lacks specificity and actionable guidance on how the authors might address this issue, such as suggesting ways to clarify the narrative or offer specific areas where integration could be improved. this makes the comment somewhat helpful as it points out a critical area for improvement but does not fully guide the authors on how to enhance their draft.",4,"the comment is mostly helpful as it clearly identifies a weakness in the presentation of the empirical results and analyses. it points out the difficulty in understanding the overall contribution of the experiments to the underlying research question and specific hypothesis. this feedback is actionable as it urges the authors to improve the clarity and connectivity of their empirical findings. however, the comment could be more detailed by offering specific suggestions on how to achieve this, such as proposing ways to restructure the results or highlighting which parts are unclear.",4,"the comment is mostly helpful as it highlights a key issue with the paper regarding the clarity and coherence of the empirical results and analyses. the reviewer points out that the experiments lack connection to the overall research question and specific hypothesis. this indicates that the authors need to improve the organization and integration of their experimental findings to provide a clearer narrative. while the feedback is constructive and actionable, it could be more specific in suggesting how the authors might restructure their presentation for better clarity, thus not fully reaching the 'highly helpful' category."
"2. In section 2, ""Finally, INRs operate on a per-data-instance basis, meaning that one time-series instance is required to train an INR"". This claim is true but I don't think it is an advantage. A model that can only handle a single time series data is almost useless.",FpElWzxzu4,"1. In the intro section, the claim that Transformers reply on regularly sampled time-series data is wrong. For example, [1] shows that the Transformer model handles irregularly-sampled time series well for imputation.
2. In section 2, ""Finally, INRs operate on a per-data-instance basis, meaning that one time-series instance is required to train an INR"". This claim is true but I don't think it is an advantage. A model that can only handle a single time series data is almost useless.
3. In section 3.1, why $c_i^t$ is a vector rather than a scalar? It just denotes a temporal coordinate of a time and should be a scalar.
4. Why the frequency of the Fourier feature is uniformly sampled?
5. ""Vectors Bm ∈ R1×DψF , δm ∈ R1×DψF denote the phase shift and the bias respectively"". I think what the author wants to claim is that B represents bias while δm denotes phase shift.
6. In Figure 5, it is unclear what the vertical axis represents.
[1] NRTSI: Non-Recurrent Time Series Imputation, ICASSP 2023.",3.0,3,"the comment points out a potential weakness in the claim made by the authors in section 2 about the limitation of inrs when dealing with only single time-series data. it provides some insight by challenging the notion that this is advantageous, suggesting that this could be seen as a drawback. however, the comment could be more helpful if it provided specific guidance or suggestions on how to address or reframe the argument to strengthen the draft. it identifies an area for improvement but lacks depth and actionable advice, making it somewhat helpful.",3,"the comment identifies a potential weakness in the authors' claim about the advantage of inrs operating on a per-data-instance basis. it challenges the notion that handling a single time series data is beneficial, pushing the authors to reconsider or justify this point. however, it could be more helpful by providing suggestions or questions that guide the authors on how to address this issue or improve the discussion in their draft.",4,"the comment is mostly helpful as it clearly identifies a claim that may be overstated in the paper and provides a reason why this might not be an advantage. this gives authors an insight into a potential weakness, but further guidance on how to address this in the draft could make it more comprehensive."
"- What is not clear also to me is how is used the Challenge Set. If I understood correctly, the CS is created by the linguistic experts and it's used for evaluation purposes. Is this used also to augment the training material? If yes, what is the data split you used?",ARR_2022_186_review,"- it is not clear what's the goal of the paper. Is the release of a challenging dataset or proposing an analysis of augmenting models with expert guided adversarial examples. If it is the first, ok, but the paper misses a lot of important information, and data analysis to give a sense of the quality and usefulness of such a dataset. If it is the second, it is not clear what's the novelty.
- In general, it seems the authors want to propose a way of create a challenging set. However, what they describe seems very specific and not scalable.
- The paper structure and writing is not sufficient
My main concern is that it's not clear what's the goal of the paper. Also, the structure and writing should greatly improve. I believe also that the choice to go for a short paper was penalizing the authors, as it seems clear that they cut out some information that could've been useful to better understand the paper (also given the 5 pages appendix).
Detailed comments/questions: - Line 107 data, -> data.
- Line 161-162: this sentence is not clear.
- Table 1: are these all the rules you defined? How the rule is applied? When you decide to make small changes to the context? For example, when you decide to add ""and her team"" as in the last example of Table 1? - Also, it seems that all the rules change a one-token entity to a multi-token one or vice-versa. Will models be biased by this?
- Line 183-197: not clear what you're doing here. Details cannot be in appendix.
- What is not clear also to me is how is used the Challenge Set. If I understood correctly, the CS is created by the linguistic experts and it's used for evaluation purposes. Is this used also to augment the training material? If yes, what is the data split you used? - Line 246-249: this sentence lacks the conclusion - Line 249: What are eligible and not eligible examples?
- Line 251: what is p?
- Line 253: The formula doesn't depend on p, so why the premise is ""if p=100% of the eligible example""?
- Line 252: Not clear what is the subject of this sentence.",3.0,3,"the comment identifies a specific area of confusion regarding the use of the challenge set and requests clarification on whether it is used for training or evaluation purposes. however, it is somewhat helpful because while it points out a potential gap in the draft, it does not offer any suggestions for improvement or fully explore the implications of the confusion. thus, it provides some insight that can guide the authors in clarifying their methodology, but would benefit from being more detailed or offering constructive suggestions.",3,"the comment identifies specific areas of ambiguity regarding the use of the challenge set and its role in the research. it raises questions about whether the challenge set is used for augmenting training data and asks for clarification on the data split if that is the case. however, the comment lacks depth or detailed guidance on how the authors should address these issues, such as suggesting specific ways to clarify or present this information in the document. thus, it offers some insights but does not completely fulfill the authors' needs for improvement.",3,"the comment is somewhat helpful because it points out a lack of clarity regarding the use of the challenge set, specifically whether it is used only for evaluation or also for training. it prompts clarification on the data split. however, the feedback could be more detailed in suggesting how the authors might clarify these issues in their draft."
"- vulnerability discovery methodology is also questionable. The authors consider a single vulnerability at a time, and while they acknowledge and address the data imbalance issue, I am not sure about the ecological validity of such a study. Previous work has considered multiple CVEs or CWEs at a time, and report whether or not the code contains any such vulnerability. Are the authors arguing that identifying one vulnerability at a time is an intended use case? In any case, the results are difficult to interpret (or are marginal improvements at best).",5EHI2FGf1D,"- no comparison against baselines. The functionality similarity comparison study reports only accuracy across optimization levels of binaries, but no baselines are considered. This is a widely-understood binary analysis application and many papers have developed architecture-agnostic similarity comparison (or often reported as codesearch, which is a similar task).
- rebuttal promises to add this evaluation
- in addition, the functionality similarity comparison methodology is questionable. The authors use cosine similarity with respect to embeddings, which to me makes the experiment rather circular. In contrast, I might have expected some type of dynamic analysis, testing, or some other reasoning to establish semantic similarity between code snippets.
- rebuttal addresses this point.
- vulnerability discovery methodology is also questionable. The authors consider a single vulnerability at a time, and while they acknowledge and address the data imbalance issue, I am not sure about the ecological validity of such a study. Previous work has considered multiple CVEs or CWEs at a time, and report whether or not the code contains any such vulnerability. Are the authors arguing that identifying one vulnerability at a time is an intended use case? In any case, the results are difficult to interpret (or are marginal improvements at best).
- addressed in rebuttal
- This paper is very similar to another accepted at Usenix 2023: Can a Deep Learning Model for One Architecture Be Used for Others?
Retargeted-Architecture Binary Code Analysis. In comparison to that paper, I do not quite understand the novelty here, except perhaps for a slightly different evaluation/application domain. I certainly acknowledge that this submission was made slightly before the Usenix 2023 proceedings were made available, but I would still want to understand how this differs given the overall similarity in idea (building embeddings that help a model target a new ISA).
- addressed in rebuttal
- relatedly, only x86 and ARM appear to be considered in the evaluation (the authors discuss building datasets for these ISAs). There are other ISAs to consider (e.g., PPC), and validating the approach against other ISAs would be important if claiming to build models that generalize to across architectures.
- author rebuttal promises a followup evaluation",3.0,3,"the comment identifies potential weaknesses in the vulnerability discovery methodology used by the authors, questioning its ecological validity and comparing it with previous work. however, it lacks specific suggestions or guidance on how to address these concerns. the comment opens up valuable discussion points regarding the approach taken but doesn't provide detailed, actionable suggestions for improvement, making it somewhat helpful for the authors.",3,"this comment is somewhat helpful because it identifies a key weakness in the methodology, specifically the focus on a single vulnerability, and questions its ecological validity. it also brings up the concern that results are either difficult to interpret or show marginal improvements. however, the comment lacks depth and specificity in its suggestions, as it does not provide concrete guidance on how the authors might address these issues or enhance the relevance of their results. while the authors can gain insights from this feedback, it does not fully guide them to improve their draft comprehensively.",3,"the comment is somewhat helpful as it raises a valid concern regarding the methodology of the study. it questions the ecological validity and compares it to previous work, suggesting that the single vulnerability approach may not be the most effective. however, it lacks specific, actionable suggestions for the authors on how they can address or improve this aspect in their study."
2. What is the purpose of the average duration reported in Table 1? There is no supporting explanation about it. Does it include time spent by the user waiting for the model to generate a response?,ARR_2022_93_review,"1. From an experimental design perspective, the experimental design suggested by the authors has been used widely for open-domain dialogue systems with the caveat of it not being done in live interactive settings.
2. The authors have not referenced those works that use continuous scales in the evaluation and there is a large bunch of literature missing from the paper. Some of the references are provided in the comments section.
3. Lack of screenshots of the experimental interface
Comments: 1. Please add screenshots of the interface that was designed.
2. Repetition of the word Tables in Line 549 3. In Appendix A.3, the GLEU metric is reference as GLUE.
Questions: 1. In table 1, is there any particular reason for the reduction in pass rate % from free run 1 and free run2?
2. What is the purpose of the average duration reported in Table 1? There is no supporting explanation about it. Does it include time spent by the user waiting for the model to generate a response?
3. With regards to the model section, is there any particular reason that there was an emphasis on choosing retriever-based transformer models over generative models? Even if the models are based on ConvAI2, there are other language modeling GPT2 based techniques that could have been picked.
4. In figure 6, what are the models in the last two columns lan_model_p and lan_model?
Missing References: 1. Howcroft, David M., Anja Belz, Miruna-Adriana Clinciu, Dimitra Gkatzia, Sadid A. Hasan, Saad Mahamood, Simon Mille, Emiel van Miltenburg, Sashank Santhanam, and Verena Rieser. "" Twenty years of confusion in human evaluation: NLG needs evaluation sheets and standardised definitions."" In Proceedings of the 13th International Conference on Natural Language Generation, pp. 169-182. 2020.
2. Santhanam, S. and Shaikh, S., 2019. Towards best experiment design for evaluating dialogue system output. arXiv preprint arXiv:1909.10122.
3. Santhanam, S., Karduni, A. and Shaikh, S., 2020, April. Studying the effects of cognitive biases in evaluation of conversational agents. In Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems (pp. 1-13).
4. Novikova, J., Dušek, O. and Rieser, V., 2018. RankME: Reliable human ratings for natural language generation. arXiv preprint arXiv:1803.05928.
5. Li, M., Weston, J. and Roller, S., 2019. Acute-eval: Improved dialogue evaluation with optimized questions and multi-turn comparisons. arXiv preprint arXiv:1909.03087.",3.0,4,"the comment is mostly helpful as it identifies a specific area of concern regarding the average duration reported in table 1 and its clarity in the manuscript. by pointing out the lack of explanation and questioning whether it includes user wait time, the reviewer prompts the authors to provide more clarity and detail, which is actionable feedback. however, the suggestion could be expanded further by proposing specific ways to address the issue, such as providing a clearer definition or context for the reported metric, hence it is not rated as a 5.",4,"the comment provides clear feedback by specifically questioning the purpose and explanation of the average duration reported in table 1. it highlights the lack of supporting explanation and questions whether it includes the waiting time for model response. this comment directs the authors to clarify this point in their draft, which is actionable feedback. however, it could be more comprehensive by suggesting how the authors might improve clarity or why this detail is important, thus it does not reach the maximum helpfulness score.",4,"the comment is mostly helpful as it identifies a specific weakness in the paper (lack of explanation regarding average duration in table 1) and implies the need for clarification. this guidance is clear and actionable, though it could be slightly enhanced by more detailed suggestions or context."
"- The paper claims the model generalizes to different knowledge but I think the substructure has to be represented as a sequence of words, e.g. it doesn't seem straightforward for me to use constituent parse as knowledge here. Finally, I'm hesitating to call it ""knowledge"". This is misleading as usually it is used to refer to world / external knowledge such as a knowledge base of entities, whereas here it is really just syntax, or arguably semantics if AMR parsing is used.",ACL_2017_128_review,"----- I'm not very convinced by the empirical results, mostly due to the lack of details of the baselines. Comments below are ranked by decreasing importance.
- The proposed model has two main parts: sentence embedding and substructure embedding. In Table 1, the baseline models are TreeRNN and DCNN, they are originally used for sentence embedding but one can easily take the node/substructure embedding from them too. It's not clear how they are used to compute the two parts.
- The model uses two RNNs: a chain-based one and a knowledge guided one. The only difference in the knowledge-guided RNN is the addition of a ""knowledge"" vector from the memory in the RNN input (Eqn 5 and 8). It seems completely unnecessary to me to have separate weights for the two RNNs. The only advantage of using two is an increase of model capacity, i.e. more parameters.
Furthermore, what are the hyper-parameters / size of the baseline neural networks? They should have comparable numbers of parameters.
- I also think it is reasonable to include a baseline that just input additional knowledge as features to the RNN, e.g. the head of each word, NER results etc.
- Any comments / results on the model's sensitivity to parser errors?
Comments on the model: - After computing the substructure embeddings, it seems very natural to compute an attention over them at each word. Is there any reason to use a static attention for all words? I guess as it is, the ""knowledge"" is acting more like a filter to mark important words. Then it is reasonable to include the baseline suggest above, i.e. input additional features.
- Since the weight on a word is computed by inner product of the sentence embedding and the substructure embedding, and the two embeddings are computed by the same RNN/CNN, doesn't it means nodes / phrases similar to the whole sentence gets higher weights, i.e. all leaf nodes?
- The paper claims the model generalizes to different knowledge but I think the substructure has to be represented as a sequence of words, e.g. it doesn't seem straightforward for me to use constituent parse as knowledge here.
Finally, I'm hesitating to call it ""knowledge"". This is misleading as usually it is used to refer to world / external knowledge such as a knowledge base of entities, whereas here it is really just syntax, or arguably semantics if AMR parsing is used.
-----General Discussion----- This paper proposes a practical model which seems working well on one dataset, but the main ideas are not very novel (see comments in Strengths). I think as an ACL paper there should be more takeaways. More importantly, the experiments are not convincing as it is presented now. Will need some clarification to better judge the results.
-----Post-rebuttal----- The authors did not address my main concern, which is whether the baselines (e.g. TreeRNN) are used to compute substructure embeddings independent of the sentence embedding and the joint tagger. Another major concern is the use of two separate RNNs which gives the proposed model more parameters than the baselines. Therefore I'm not changing my scores.",3.0,3,"the review point identifies a specific concern regarding the use of the term 'knowledge' and challenges the generalization claim of the model. however, it lacks depth in explaining why the term 'knowledge' is misleading beyond mentioning syntactic versus semantic distinctions. additionally, while it questions the substructure representation as a sequence of words, it does not provide an alternative approach or further clarification. thus, the comment is somewhat helpful as it offers insight into potential issues but doesn't fully guide the authors on how to address these concerns in their draft.",4,"the review point effectively highlights a specific issue with the terminology and representation used in the paper, questioning the validity of calling the substructure 'knowledge' and suggesting that its representation as a sequence of words might be problematic. this feedback is clear and directs attention to a conceptual misunderstanding or misrepresentation that could mislead readers. however, to be fully comprehensive and warrant a score of 5, it could offer specific suggestions on how to address the issue, such as offering alternative terminology or methods of representation that align more accurately with the intended meaning or standard usage in the field.",4,"the comment is mostly helpful as it highlights a potential issue with the claim regarding how the model generalizes knowledge. it provides actionable feedback by questioning the appropriateness of calling the substructure 'knowledge' and suggests clarification on this matter. however, it could be expanded by specifying how the authors might address or clarify this in their paper."
"2) How to deal with the different types of inputs (e.g., bio-medical signals or speech)? It would be valuable to discuss it and present your solutions in this paper. The citation seems a bit disordered.",NIPS_2021_291,"The writing is clear and the motivation is clarified clearly. Besides, the theoretical grounding and experimental evaluation are not sufficient to show their originality and significance. Here are some of the suggestions: 1) I would like to see ablation studies for the proposed training method, the traditional backpropagation framework refers as the baseline. 2) How to deal with the different types of inputs (e.g., bio-medical signals or speech)? It would be valuable to discuss it and present your solutions in this paper. The citation seems a bit disordered.",3.0,4,"the review comment is mostly helpful as it highlights a significant area that requires attention: how the paper handles different types of inputs, which is crucial for understanding the versatility and applicability of the proposed method. the suggestion to discuss and present solutions for this is clear and actionable. additionally, it mentions a secondary issue with the citations being 'a bit disordered,' which, although not very descriptive, points out a technical area for improvement. the feedback could be more comprehensive by providing examples or more specific guidance on how to structure the discussion, but overall it provides practical steps for the authors to enhance their draft.",4,"the review comment identifies a specific area for improvement, asking the authors to discuss and present solutions for dealing with different types of inputs, which is likely a crucial aspect for understanding the applicability of the research. additionally, the comment points out an issue with disordered citations, an actionable detail that can help improve the draft's organization and readability. while the feedback is clear and actionable, it lacks detailed guidance or suggestions on how to address these points, which would make it a fully comprehensive and highly helpful comment.",4,"the comment is mostly helpful as it identifies a potential gap in the paper regarding the discussion on handling different types of inputs, suggesting it would be valuable to include such a discussion and solutions. additionally, the comment points out an issue with the organization of citations. while the feedback is actionable and clear, it could be expanded with more specific guidance or examples to be fully comprehensive."
