review_point,paper_id,venue,focused_review,actionability,actionability_label,actionability_label_type,batch,grounding_specificity,grounding_specificity_label,grounding_specificity_label_type,verifiability,verifiability_label,verifiability_label_type,helpfulness,helpfulness_label,helpfulness_label_type,professional_tone,professional_tone_label,professional_tone_label_type,valid_point,valid_point_label,valid_point_label_type,chatgpt_helpfulness_definitions_score,chatgpt_helpfulness_definitions_rationale
- 241: It would also be good to state the maximum number of tasks done by any annotator.,ARR_2022_215_review,ARR_2022,"1. The paper raises two hypotheses in lines 078-086 about multilinguality and country/language-specific bias. While I don't think the hypotheses are phrased optimally (could they be tested as given?), their underlying ideas are valuable. However, the paper actually does not really study these hypotheses (nor are they even mentioned/discussed again). I found this not only misleading, but I would have also liked the paper to go deeper into the respective topics, at least to some extent. 2. It seemed a little disappointing to me that the 212 new pairs have _not_ been translated to English (if I'm not mistaken). To really make this dataset a bilingual resource, it would be good to have all pairs in both languages. In the given way, it seems that ultimately only the French version was of interest to the study - unlike it is claimed initially.
3. Almost no information about the reliability of the translations and the annotations is given (except for the result of the translation checking in line 285), which seems unsatisfying to me. To assess the translations, more information about the language/translation expertise of the authors would be helpful (I don't think this violates anonymity). For the annotations, I would expect some measure of inter-annotator agreement.
4. The metrics in Tables 4 and 5 need explanation, in order to make the paper self-contained. Without going to the original paper on CrowS-pairs, the values are barely understandable. Also, information on the values ranges should be given as well as whether higher or lower values are better.
- 066: social contexts >> I find this term misleading here, since the text seems to be about countries/language regions.
- 121: Deviding 1508 into 16*90 = 1440 cases cannot be fully correct. What about the remaining 68 cases?
- 241: It would also be good to state the maximum number of tasks done by any annotator.
- Table 3: Right-align the numeric columns.
- Table 4 (1): Always use the same number of decimal places, for example 61.90 instead of 61.9 to match the other values. This would increase readability. - Table 4 (2): The table exceeds the page width; that needs to be fixed.
- Tables 4+5 (1): While I undersand the layout problem, the different approaches would be much easier to compare if tables and columns were flipped (usually, one approach per row, one metric per column). - Tables 4+5 (2): What's the idea of showing the run-time? I didn't see for what this is helpful.
- 305/310: Marie/Mary >> I think these should be written the same.
- 357: The text speaks of ""53"", but I believe the value ""52.9"" from Table 4 is meant. In my view, such rounding makes understanding harder rather than helping.
- 575/577: ""1/"" and ""2/"" >> Maybe better use ""(1)"" and ""(2)""; confused me first.","['5', '4', '5', '5', '5', '3', '4', '5']",5.0,gold,2,"['5', '5', '5', '5', '5', '4', '2', '5']",5.0,gold,"['1', '5', '4', 'X', '5', '2', '3', '1']",1,silver,"['5', '5', '5', '5', '5', '2', '4', '2']",5.0,gold,"['1', '1', '1', '1', '1', '1', '1', '1']",1.0,gold,"['0', '0', '0', '0', '0', '0', '0']",0.0,gold,3,"the comment suggests an improvement by recommending the inclusion of information about the maximum number of tasks done by any annotator, which could provide valuable context and clarity. however, the comment lacks depth and does not explain why this information would be beneficial or how it could impact the study's findings or the draft's quality. the authors can infer an area for improvement, but the feedback does not provide detailed guidance or fully address the implications of the suggestion."
"1) there is a drop of correlation after a short period of training, which goes up with more training iterations;",NIPS_2022_1770,NIPS_2022,"Weakness: There are still several concerns with the finding that the perplexity is highly correlated with the number of decoder parameters.
According to Figure 4, the correlation decreases as top-10% architectures are chosen instead of top-100%, which indicates that the training-free proxy is less accurate for parameter-heavy decoders.
The range of sampled architectures should also affect the correlation. For instance, once the sampled architectures are of similar sizes, it could be more challenging to differentiate their perplexity and thus the correlation can be lower.
Detailed Comments:
Some questions regarding Figure 4: 1) there is a drop of correlation after a short period of training, which goes up with more training iterations; 2) the title ""Top-x%"" should be further explained;
Though the proposed approach yields the Pareto frontier of perplexity, latency and memory, is there any systematic way to choose a single architecture given the target perplexity?","['1', '1', '1']",1.0,gold,4,"['3', '4', '1']",,,"['3', 'X', 'X']",X,silver,"['1', '1', '1']",1.0,gold,"['1', '1', '1']",1.0,gold,"['1', '0', '0']",0.0,silver,2,"the review point identifies an issue related to the drop and rise in correlation with training iterations, but it is vague and lacks specific details or suggestions. it does not provide actionable feedback on how to address the observed pattern, leaving the authors with minimal guidance. to be more helpful, the comment could include potential causes, the impact on the study, or suggestions for experiment adjustments."
- This pipeline style method including two models does not give better average results for both XVNLI and MaRVL. Baseline models in the experiments are not well introduced.,4kuLaebvKx,EMNLP_2023,"- The chained impacts of image captioning and multilingual understanding model in the proposed pipeline. If the Image caption gives worse results and the final results could be worse. So The basic performance of the image caption model and multilingual language mode depends on the engineering model choice when it applies to zero-shot.
- This pipeline style method including two models does not give better average results for both XVNLI and MaRVL. Baseline models in the experiments are not well introduced.","['1', '3', '3', '2']",3.0,silver,3,"['3', '4', '5', '4']",4.0,silver,"['1', '2', 'X', '1']",1,silver,"['1', '3', '3', '3']",3.0,gold,"['1', '1', '1', '1']",1.0,gold,"['1', '0', '0', '0']",0.0,gold,3,"the review point identifies a specific weakness in the manuscript by pointing out that the pipeline style method does not yield better average results for both xvnli and marvl, and that baseline models are not well introduced. while this feedback helps the authors understand an area needing improvement, it lacks detailed suggestions on how to address these issues or improve their methodology and experiment descriptions. more specific guidance and depth would enhance its utility."
"2 More analysis and comments are recommended on the performance trending of increasing the number of parameters for ViT (DeiT) in the Figure 3. I disagree with authors' viewpoint that ""Both CNNs and ViTs seem to benefit similarly from increased model capacity"". In the Figure 3, the DeiT-B models does not outperform DeiT-T in APTOS2019, and it does not outperform DeiT-S on APTOS2019, ISIC2019 and CheXpert (0.1% won't be significant). However, CNNs can give more almost consistent model improvements as the capacity goes up except on the ISIC2019.",ICLR_2022_1794,ICLR_2022,"1 Medical imaging are often obtained in 3D volumes, not only limited to 2D images. So experiments should include the 3D volume data as well for the general community, rather than all on 2D images. And the lesion detection is another important task for the medical community, which has not been studied in this work.
2 More analysis and comments are recommended on the performance trending of increasing the number of parameters for ViT (DeiT) in the Figure 3. I disagree with authors' viewpoint that ""Both CNNs and ViTs seem to benefit similarly from increased model capacity"". In the Figure 3, the DeiT-B models does not outperform DeiT-T in APTOS2019, and it does not outperform DeiT-S on APTOS2019, ISIC2019 and CheXpert (0.1% won't be significant). However, CNNs can give more almost consistent model improvements as the capacity goes up except on the ISIC2019.
3 On the segmentation mask involved with cancer on CSAW-S, the segmentation results of DEEPLAB3-DEIT-S cannot be concluded as better than DEEPLAB3-RESNET50. The implication that ViTs outperform CNNs in this segmentation task cannot be validly drawn from an 0.2% difference with larger variance.
Questions: 1 For the grid search of learning rate, is it done on the validation set?
Minor problems: 1 The n number for Camelyon dataset in Table 1 is not consistent with the descriptions in the text in Page 4.","['5', '5', '2', '5']",5.0,gold,3,"['5', '5', '5', '5']",5.0,gold,"['5', '5', '5', '5']",5,gold,"['5', '5', '2', '5']",5.0,gold,"['1', '1', '1', '1']",1.0,gold,"['0', '0', '0', '0']",0.0,gold,5,"the review comment is highly helpful as it thoroughly identifies a specific weakness in the analysis of the performance trend related to the number of parameters in vit models. the reviewer clearly disagrees with the authors' interpretation of results and provides detailed observations from figure 3, where they describe the lack of significant improvement in deit models with increased parameters in certain datasets. moreover, the reviewer contrasts this with cnns' performance, offering constructive critique and a basis for deeper analysis. this empowers the authors to revisit their analysis and consider the nuanced differences in model capacity trends, providing a significant opportunity for improving their draft."
"- ""semantic"" segmentation is not low-level since the categories are specified for each pixel so the statements about semantic segmentation being a low-level cue should be removed from the paper.",NIPS_2018_25,NIPS_2018,"- My understanding is that R,t and K (the extrinsic and intrinsic parameters of the camera) are provided to the model at test time for the re-projection layer. Correct me in the rebuttal if I am wrong. If that is the case, the model will be very limited and it cannot be applied to general settings. If that is not the case and these parameters are learned, what is the loss function? - Another issue of the paper is that the disentangling is done manually. For example, the semantic segmentation network is the first module in the pipeline. Why is that? Why not something else? It would be interesting if the paper did not have this type of manual disentangling, and everything was learned. - ""semantic"" segmentation is not low-level since the categories are specified for each pixel so the statements about semantic segmentation being a low-level cue should be removed from the paper. - During evaluation at test time, how is the 3D alignment between the prediction and the groundtruth found? - Please comment on why the performance of GTSeeNet is lower than that of SeeNetFuse and ThinkNetFuse. The expectation is that groundtruth 2D segmentation should improve the results. - line 180: Why not using the same amount of samples for SUNCG-D and SUNCG-RGBD? - What does NoSeeNet mean? Does it mean D=1 in line 96? - I cannot parse lines 113-114. Please clarify.","['5', '5', '5', '5']",5.0,gold,3,"['5', '3', '5', '3']",5.0,silver,"['4', '4', '4', '5']",4,gold,"['4', '5', '3', '5']",5.0,silver,"['1', '1', '1', '1']",1.0,gold,"['0', '0', '0', '0']",0.0,gold,4,"the review point is mostly helpful as it clearly identifies a specific issue in the paper related to the incorrect classification of 'semantic segmentation' as a low-level task. the comment provides clear guidance by suggesting that statements regarding semantic segmentation as a low-level cue should be removed. however, the comment could be more comprehensive by explaining why this misclassification is critical, or by suggesting a more accurate characterization of semantic segmentation. this additional context would further help the authors understand and improve their draft."
- The experiments are limited to toy data. There is a range of problems with real data where barycenters can be used and it would be interesting to show performance of the method in those settings too.,NIPS_2020_83,NIPS_2020,"While I think the paper makes a good contribution, there are some limitation at the present stage: - [Remark 3.1] While it has been done in previous works, I think that a deeper understanding of those cases where modelling the pushforward P in (8) as a composition of perturbation in an RKHS does not introduce an error, would increase the quality of the work. Alternatively, trying to undestand the kind of error that this parametrization introduces would be valuable too. - The analysis does not cover explicitly what happens when the input measures \beta_i are absolutely continuous and one has to rely on samples. How does the sampling part impact the bound? - The experiments are limited to toy data. There is a range of problems with real data where barycenters can be used and it would be interesting to show performance of the method in those settings too.","['4', '5', '1']",,,4,"['2', '4', '3']",,,"['3', '3', '4']",3,silver,"['3', '3', '3']",3.0,gold,"['1', '1', '1']",1.0,gold,"['0', '0', '0']",0.0,gold,4,"the review point highlights a significant limitation in the experiments by pointing out their reliance on toy data, and suggests exploring real-data scenarios to better demonstrate the method's applicability. this feedback is clear and actionable, as it guides the authors to broaden their scope for more comprehensive validation. however, it lacks specific examples or detailed guidance on which real data problems to consider, preventing it from being a 5. overall, the comment is mostly helpful in enhancing the paper's contribution and relevance."
"- This paper investigates the issue of robustness in video action recognition, but it lacks comparison with test-time adaptation (TTA) methods, such as [A-B]. These TTA methods also aim to adapt to out-of-distribution data when the input data is disturbed by noise. Although these TTA methods mainly focus on updating model parameters, and this paper primarily focuses on adjusting the input data, how to prove that data processing is superior to model parameter adjustment? I believe a comparison should be made based on experimental results.",eI6ajU2esa,ICLR_2024,"- This paper investigates the issue of robustness in video action recognition, but it lacks comparison with test-time adaptation (TTA) methods, such as [A-B]. These TTA methods also aim to adapt to out-of-distribution data when the input data is disturbed by noise. Although these TTA methods mainly focus on updating model parameters, and this paper primarily focuses on adjusting the input data, how to prove that data processing is superior to model parameter adjustment? I believe a comparison should be made based on experimental results.
- Under noisy conditions, many TTA methods can achieve desirable results, while the improvement brought by this paper's method is relatively low.
- In appendix A.2.1, under noisy conditions, the average performance improvement brought by this paper's method is very low and can even be counterproductive under certain noise conditions. Does this indicate an issue with the approach of changing input data?
- How to verify the reliability of the long-range photometric consistency in section 3.3? Are there any ablation study results reflecting the performance gain brought by each part?
- The explanation of the formula content in Algorithm 1 in the main body is not clear enough.
[A] Temporal Coherent Test-Time Optimization for Robust Video Classification. ICLR23
[B] Video Test-Time Adaptation for Action Recognition. CVPR23","['5', '5', '5', '5']",5.0,gold,3,"['5', '5', '4', '5']",5.0,gold,"['5', '5', '5', 'X']",5,gold,"['5', '5', '4', '4']",5.0,silver,"['1', '1', '1', '1']",1.0,gold,"['0', '0', '0', '0']",0.0,gold,4,"the comment addresses a notable weakness in the paper by pointing out the lack of comparison with test-time adaptation (tta) methods, which are relevant to the topic being investigated. it provides a clear suggestion for improvement by recommending a comparison to establish how the proposed data processing method stands relative to model parameter adjustment methods. this feedback is actionable, as it guides the authors to include experimental comparisons. however, the comment could be more comprehensive by suggesting specific metrics or scenarios for the comparison or by elaborating on the potential implications of the comparison results. therefore, the review is mostly helpful but not entirely exhaustive or detailed."
- Table 4: Caption should make it clear these are F1 scores as well as clarifying how the F1 score is weighted (e.g. micro/macro). This should also be made clear in the “evaluation metrics” section on page 6.,ACL_2017_727_review,ACL_2017,"Quantitative results are given only for the author's PSL model and not compared against any traditional baseline classification algorithms, making it unclear to what degree their model is necessary. Poor comparison with alternative approaches makes it difficult to know what to take away from the paper.
The qualitative investigation is interesting, but the chosen visualizations are difficult to make sense of and add little to the discussion. Perhaps it would make sense to collapse across individual politicians to create a clearer visual.
- General Discussion: The submission is well written and covers a topic which may be of interest to the ACL community. At the same time, it lacks proper quantitative baselines for comparison. Minor comments: - line 82: A year should be provided for the Boydstun et al. citation - It’s unclear to me why similar behavior (time of tweeting) should necessarily be indicative of similar framing and no citation was given to support this assumption in the model.
- The related work goes over quite a number of areas, but glosses over the work most clearly related (e.g. PSL models and political discourse work) while spending too much time mentioning work that is only tangential (e.g. unsupervised models using Twitter data).
- Section 4.2 it is unclear whether Word2Vec was trained on their dataset or if they used pre-trained embeddings.
- The authors give no intuition behind why unigrams are used to predict frames, while bigrams/trigrams are used to predict party.
- The authors note that temporal similarity worked best with one hour chunks, but make no mention of how important this assumption is to their results. If the authors are unable to provide full results for this work, it would still be worthwhile to give the reader a sense of what performance would look like if the time window were widened.
- Table 4: Caption should make it clear these are F1 scores as well as clarifying how the F1 score is weighted (e.g. micro/macro). This should also be made clear in the “evaluation metrics” section on page 6.","['3', '5', '5']",5.0,silver,1,"['3', '5', '5']",5.0,silver,"['X', '5', 'X']",X,silver,"['2', '4', '5']",,,"['1', '1', '1']",1.0,gold,"['1', '1', '0']",1.0,silver,5,"the review point is highly helpful as it clearly identifies a specific area for improvement (clarification of f1 scores in table 4's caption and the evaluation metrics section). it provides detailed, actionable suggestions on what needs to be clarified, empowering the authors to significantly enhance the clarity and interpretability of their results, thus addressing a meaningful aspect of their document."
"2.It is better for authors to display the performance of accelerating SGMs by involving some other baselines with a different perspective, such as “optimizing the discretization schedule or by modifying the original SGM formulation” [16, 15, 23, 46, 36, 31, 37, 20, 10, 25, 35, 45]",NIPS_2022_1807,NIPS_2022,"Weakness:
1.The authors should provide more descriptions of the wavelet transforms in this paper. It is hard for me to understand the major idea in this paper before learning some necessary knowledge about wavelet whitening, wavelet coefficient, and so on.
2.It is better for authors to display the performance of accelerating SGMs by involving some other baselines with a different perspective, such as “optimizing the discretization schedule or by modifying the original SGM formulation” [16, 15, 23, 46, 36, 31, 37, 20, 10, 25, 35, 45]","['5', '3', '5']",5.0,silver,4,"['5', '3', '3']",3.0,silver,"['5', '5', '1']",5,silver,"['5', '4', '4']",4.0,silver,"['1', '1', '1']",1.0,gold,"['0', '0', '0']",0.0,gold,4,"the review point is mostly helpful because it clearly suggests incorporating additional baselines that involve different perspectives, specifically mentioning 'optimizing the discretization schedule' or 'modifying the original sgm formulation'. it also provides references for the authors to explore further. however, it could be more comprehensive by suggesting specific examples or further elaborating on how these perspectives could be demonstrated, leading to an even more actionable feedback for the authors."
"3: To further backup the proposed visual reference resolution model works in real dataset, please also conduct ablation study on visDial dataset. One experiment I'm really interested is the performance of ATT(+H) (in figure 4 left). What is the result if the proposed model didn't consider the relevant attention retrieval from the attention memory.",NIPS_2017_356,NIPS_2017,"]
My major concerns about this paper is the experiment on visual dialog dataset. The authors only show the proposed model's performance on discriminative setting without any ablation studies. There is not enough experiment result to show how the proposed model works on the real dataset. If possible, please answer my following questions in the rebuttal.
1: The authors claim their model can achieve superior performance having significantly fewer parameters than baseline [1]. This is mainly achieved by using a much smaller word embedding size and LSTM size. To me, it could be authors in [1] just test model with standard parameter setting. To backup this claim, is there any improvements when the proposed model use larger word embedding, and LSTM parameters?
2: There are two test settings in visual dialog, while the Table 1 only shows the result on discriminative setting. It's known that discriminative setting can not apply on real applications, what is the result on generative setting?
3: To further backup the proposed visual reference resolution model works in real dataset, please also conduct ablation study on visDial dataset. One experiment I'm really interested is the performance of ATT(+H) (in figure 4 left). What is the result if the proposed model didn't consider the relevant attention retrieval from the attention memory.","['5', '5', '5', '5']",5.0,gold,3,"['5', '5', '5', '5']",5.0,gold,"['5', 'X', 'X', 'X']",X,gold,"['5', '4', '5', '5']",5.0,gold,"['1', '1', '1', '1']",1.0,gold,"['0', '0', '0', '0']",0.0,gold,4,"the comment is mostly helpful as it provides clear and actionable feedback by suggesting that the authors conduct an ablation study on the visdial dataset to further validate their model. it specifically points out an area of interest (the performance of att(+h) in figure 4) and questions the impact of the proposed model not considering attention retrieval, which can guide the authors to conduct additional experiments. however, it could be more comprehensive by elaborating on why this experiment is important or how it could improve the paper, thus not reaching the highest level of helpfulness."
"4. The promised dataset has not yet been made publicly available, so a cautious approach should be taken regarding this contribution until the dataset is openly accessible.",OvoRkDRLVr,ICLR_2024,"1. The paper proposes a multimodal framework built atop a frozen Large Language Model (LLM) aimed at seamlessly integrating and managing various modalities. However, this approach seems to be merely an extension of the existing InstructBLIP.
2. Additionally, the concept of extending to multiple modalities, such as the integration of audio and 3D modalities, has already been proposed in prior works like PandaGPT. Therefore, the paper appears to lack sufficient novelty in both concept and methodology.
3. In Table 1, there is a noticeable drop in performance for X-InstructBLIP. Could you please clarify the reason behind this? If this drop is due to competition among different modalities, do you propose any solutions to mitigate this issue?
4. The promised dataset has not yet been made publicly available, so a cautious approach should be taken regarding this contribution until the dataset is openly accessible.","['1', '2', '5', '1']",1.0,silver,3,"['1', '3', '5', '3']",3.0,silver,"['X', '3', 'X', 'X']",X,gold,"['2', '3', '4', '1']",,,"['1', '1', '1', '1']",1.0,gold,"['1', '0', '0', '0']",0.0,gold,3,"the comment identifies a significant issue regarding the availability of the dataset, which is an important aspect of the contribution. however, it lacks depth or specific guidance on how the authors can address this issue or what steps they might take to make the dataset available. while it provides some insight into a crucial part of the draft, it does not fully empower the authors to take specific actions to ameliorate the problem."
"1) While the authors' methods allow for learning a state-action-dependent weighting of the shaping rewards, it seemed to me possible that in all of the experiments presented, learning a *uniform* state-action-independent weighting would have sufficed. Moreover, since learning a state-action-independent weighting is much simpler (i.e. it is a single scalar), it may even outperform the authors' methods for the current experiments. Based on this, I would like to suggest the following: 1a) Could the authors provide visualizations of the state-action variation of their learnt weightings? They plot the average weight in some cases (Fig 1 and",NIPS_2020_1335,NIPS_2020,"Given how strong the first four sections (five pages) of the paper were, I was relatively disappointed in the experiments, which were somewhat light. Specifically: 1) While the authors' methods allow for learning a state-action-dependent weighting of the shaping rewards, it seemed to me possible that in all of the experiments presented, learning a *uniform* state-action-independent weighting would have sufficed. Moreover, since learning a state-action-independent weighting is much simpler (i.e. it is a single scalar), it may even outperform the authors' methods for the current experiments. Based on this, I would like to suggest the following: 1a) Could the authors provide visualizations of the state-action variation of their learnt weightings? They plot the average weight in some cases (Fig 1 and 3), but given Cartpole has such a small state-action space, it should be possible to visualize the variation. The specific question here is: do the weights vary much at all in these cases? 1b) Could the authors include a baseline of learnt state-action-*independent* weights? In other words, this model has a single parameter, replacing z_phi(s,a) with a single scalar z. This should be pretty easy to implement. The authors could take any (or all) of their existing gradient approximators and simply average them across all (s,a) in a batch to get the gradient w.r.t. z. 1c) Could the authors include an additional experiment that specifically benefits from learning state-action-*dependent* (so non-uniform) weights? Here is a simple example for Cartpole: the shaping reward f(s,a) is helpful for half the state space and unhelpful for the other half. The ""halves"" could be whether the pole orientation is in the left or right half. The helpful reward could be that from Section 5.1 while the unhelpful reward could be that from the first adaptability test in Section 5.3. 2) To me, the true power of the author's approach is not in learning to ignore bad rewards (just turn them off!) but to intelligently incorporate sort-of-useful-but-not-perfect rewards. This way a researcher can quickly hand design an ok shaping reward but then let the authors' method transform it into a good one. Thus, I was surprised the experiments focussed primarily on ignoring obviously bad rewards and upweighting obviously good rewards. In particular, the MuJoCo experiments would be more compelling if they included more than just a single unhelpful shaping reward. I think the authors could really demonstrate the usefulness of their method there by doing the following: hand design a roughly ok shaping reward for each task. For example, the torso velocity or head height off the ground for Humanoid-v2. Then apply the authors' method and show that it outperforms naive use of this shaping reward. 3) Although the authors discussed learning a shaping reward *from scratch* in the related work section, I was surprised that they did not included this as a baseline. One would like to see that their method, when provided with a decent shaping reward to start, can learn faster by leveraging this hand-crafted knowledge. Fortunately, it seems to me again very easy to implement a baseline like this within the author's framework: simply set f(s,a)=1 and use the authors' methods (perhaps also initializing z_phi(s,a)=0).","['5', '5']",5.0,silver,4,"['5', '5']",5.0,silver,"['5', '4']",,,"['5', '4']",,,"['1', '1']",1.0,silver,"['1', '0']",,,4,"the comment is mostly helpful because it identifies a potential weakness in the authors' methods, specifically questioning whether a simpler, uniform state-action-independent weighting could suffice for their experiments. it provides actionable feedback by suggesting that the authors provide visualizations of the state-action variation of their learnt weightings. however, the review stops mid-sentence, which slightly limits its comprehensiveness and does not provide a complete explanation or detailed guidance. despite this, the authors can gain valuable insights into how to enhance their analysis and explanation of their method's effectiveness."
"4. The model AUC can assess the model discriminant ability, i.e., the probability of a positive case is bigger than that of a negative case, but may be hard to show its consistency between predicted score and actual risk. However, this consistency may be more crucial to the clinical scoring system (differentiated with classification task). Therefore, the related studies are encouraged to conduct calibration curves to show the agreement. It would be better to prove the feasibility of the generated scoring system? The difference between the traditional method and our method can also be discussed in this paper.",NIPS_2022_1637,NIPS_2022,"1. The examples of scoring systems in the Introduction seem out of date, there are many newer and recognized clinical scoring systems. It also should briefly introduce the traditional framework of the scoring system and its difference in methodology and performance with the proposed method. 2. As shown in figure 3, the performance improvement of proposed methods seems not so significant, the biggest improvement in the bank dataset was ~0.02. Additionally, using some tables to directly show the key improvements may be more intuitive and detailed. 3. Although extensive experiments and discussion on performance, in my opinion, its most significant improvement would be efficiency, and there are few discussions or ablation experiments on efficiency. 4. The model AUC can assess the model discriminant ability, i.e., the probability of a positive case is bigger than that of a negative case, but may be hard to show its consistency between predicted score and actual risk. However, this consistency may be more crucial to the clinical scoring system (differentiated with classification task). Therefore, the related studies are encouraged to conduct calibration curves to show the agreement. It would be better to prove the feasibility of the generated scoring system? The difference between the traditional method and our method can also be discussed in this paper.","['5', '5', '4']",5.0,silver,4,"['5', '5', '3']",5.0,silver,"['5', '3', '5']",5,silver,"['5', '3', '4']",,,"['1', '1', '1']",1.0,gold,"['0', '0', '0']",0.0,gold,4,"the review point is mostly helpful because it identifies potential weaknesses in the draft related to the model's auc and its implications on clinical scoring systems. it provides guidance on conducting calibration curves to address these concerns and suggests areas for discussion such as comparing the traditional method with the proposed one. however, the feedback could be expanded with more detailed suggestions on how to improve these sections, making it not fully comprehensive, but still providing clear and actionable insights for the authors."
"- The authors may want to generate instances with more constraints and variables, as few instances in the paper have more than 7 variables. Thus, this raises my concern about LLMs' ability to model problems with large instance sizes.",fsDZwS49uY,ICLR_2025,"- The authors may want to generate instances with more constraints and variables, as few instances in the paper have more than 7 variables. Thus, this raises my concern about LLMs' ability to model problems with large instance sizes.
- Given that a single optimization problem can have multiple valid formulations, it would be beneficial for the authors to verify the accuracy and equivalence of these formulations with ground-truth ones.
- There are questions regarding the solving efficiency of the generated codes. It would be valuable to assess whether the code produced by LLMs can outperform human-designed formulations and codes.","['3', '5', '5']",5.0,silver,4,"['2', '5', '3']",,,"['3', 'X', '5']",,,"['3', '5', '4']",,,"['1', '1', '1']",1.0,gold,"['0', '0', '0']",0.0,gold,3,"the comment identifies a potential weakness in the paper regarding the scarcity of instances with a high number of variables, which may affect the study's analysis of large-scale problems. however, the suggestion to generate instances with more constraints and variables lacks specificity and depth. while it highlights a possible limitation, it does not provide detailed guidance on how the authors might address this issue or how it impacts the overall conclusions of the paper. therefore, it offers some insight but does not fully empower the authors to make comprehensive improvements."
"- Disentanglement. It is not clear how disentanglement is guaranteed. Although ""Broader Impacts and Limitations"" stated that ""Obtaining fully disentangled latent vectors ... a limitation"", it is still important to highlight how the disentanglement is realized and guaranteed without certain bias types.",NIPS_2021_37,NIPS_2021,", * Typos/Comments)
Overall, I like and value the research topic and motivation of this paper and lean positive. However, some details are not clear enough. I would update my rating depending on the authors' feedback. The details are as follows.
+ Interesting and important research problem. This paper focuses on how to obtain disentangle representations for feature-level augmentation. This topic is interesting and important, and will attract many interests of the NeurIPS community.
+ Good quality of writing and organization. Overall, the writing quality is good and the paper is well organized. It is comfortable to read this paper, although some details are not clear.
+ Comprehensive experiments. Experiments are conducted on two synthetic datasets Colored MNIST and Corrupted CIFAR-10) and two real-world datasets (BAR and Biased FFHQ).
- Relative difficulty score and generalized cross-entropy (GCE) loss. It is not clear how the relative difficulty score W ( x )
in Eq. (1) is used in the pipeline. W(x) is not mentioned again in both the overall objective functions Eq. (2) or Algorithm 1. Since readers may not be familiar with the generalized cross-entropy (GCE) loss, it is encouraged to briefly introduce the formulation and key points of the GCE loss to make this paper more self-contained.
- How bias-conflicting samples and bias-aligned samples are selected. This weakness follows the first one. It seems that the ""bias-conflicting"" is determined based on the relative difficulty score, but the details are missed. Also, the ablation study on how the ""bias-conflicting"" is determined, e.g., setting the threshold for the relative difficulty score, is encouraged to be considered and included.
- Disentanglement. It is not clear how disentanglement is guaranteed. Although ""Broader Impacts and Limitations"" stated that ""Obtaining fully disentangled latent vectors ... a limitation"", it is still important to highlight how the disentanglement is realized and guaranteed without certain bias types.
- Inference stage. It is not clear how the inference is conducted during testing. Which encoders/decoders are preserved during the test stage?
- Figure 1 is not clear. First, it seems that the two y towards L CE
are the outputs of C i
, but they are illustrated like labels rather than predictions. Second, the illustration of the re-weighting module is not clear. Does it represent Eq. (4)?
- Table 4 reported a much lower performance of ""swapping"" on BAR compared to the other three datasets. Is there any explanation for this, like the difference of datasets?
- Sensitivity to hyperparameters. The proposed framework consists of three important hyperparameters, ( λ dis , λ s w a p b , λ swap )
. It is not clear whether the framework is sensitive to these hyperparameters and how these hyperparameters are determined.
* (Suggestion) Illustration of backpropagation. As introduced in Line 167-168, the loss from C i
is not backpropagated to E b
. It would be clearer if this can be added in Figure 1.
* Line 280. Is ""the first row and column ... respectively"" a typo? It is a little confusing for me to understand this.
* Typos in Algorithm 1. Are λ dis and λ s w a p b
missed in L dis and L swap ?
* Typo in Line 209. Corrputed -> Corrupted.
============================= After rebuttal ===================================
After reading the authors' response to my questions and concerns, I would like to vote for acceptance.
The major strengths of this paper are:
The research problem, unbiased classification via learning debiased representation, is interesting and would attract the NeurIPS audience's attention.
The proposed method is simple but effective. The method is built on top of LfF [12] and further considers (1) intrinsic and bias feature disentanglement and (2) data augmentation by swapping the bias features among training samples.
The paper is clearly written and well organized.
These strengths and contributions are also pointed out by other colleague reviewers.
My main concerns were:
Unclear technical details of the GCE loss and the relative difficulty score. This concern was also shared with Reviewer 8Ai1 and iKKw. The authors' response clearly introduced the details and addressed my concern well.
Sensitivity to hyper-parameters. The authors' response provided adequate results to show the sensitivity to hyper-parameters. Other details of implementation and analysis of experimental results. The authors' responses clearly answered my questions.
Considering both strengths and the weakness, I am happy to accept this paper.
The authors have adequately addressed the limitations and potential negative societal impact of their work.","['3', '5', '3', '5']",3.0,silver,3,"['3', '5', '4', '5']",5.0,silver,"['4', '4', 'X', '3']",4,silver,"['4', '4', '3', '4']",4.0,gold,"['1', '1', '1', '1']",1.0,gold,"['0', '0', '0', '0']",0.0,gold,4,"the comment is mostly helpful as it identifies a specific weakness in the manuscript related to an unclear explanation of disentanglement and its guarantee. it stresses the need for clarification on how disentanglement is achieved and safeguarded against bias. while it provides clear guidance on what needs to be addressed, it does not offer detailed suggestions on how the authors might approach this improvement. expanding the comment with examples or potential approaches could improve its comprehensiveness and make it fully impactful."
