review_point,paper_id,focused_review,verifiability_label,chatgpt_verifiability_definitions_score,chatgpt_verifiability_definitions_rationale,chatgpt_verifiability_definitions_examples_score,chatgpt_verifiability_definitions_examples_rationale,chatgpt_verifiability_definitions_incontext_learning_score,chatgpt_verifiability_definitions_incontext_learning_rationale
"- Two things must be improved in the presentation of the model: (1) What is the pooling method used for embedding features (line 397)? and (2) Equation (7) in line 472 is not clear enough: is E_i the random variable representing the *type* of AC i, or its *identity*? Both are supposedly modeled (the latter by feature representation), and need to be defined. Furthermore, it seems like the LHS of equation (7) should be a conditional probability.",ACL_2017_483_review,"- 071: This formulation of argumentation mining is just one of several proposed subtask divisions, and this should be mentioned. For example, in [1], claims are detected and classified before any supporting evidence is detected.
Furthermore, [2] applied neural networks to this task, so it is inaccurate to say (as is claimed in the abstract of this paper) that this work is the first NN-based approach to argumentation mining.
- Two things must be improved in the presentation of the model: (1) What is the pooling method used for embedding features (line 397)? and (2) Equation (7) in line 472 is not clear enough: is E_i the random variable representing the *type* of AC i, or its *identity*? Both are supposedly modeled (the latter by feature representation), and need to be defined. Furthermore, it seems like the LHS of equation (7) should be a conditional probability.
- There are several unclear things about Table 2: first, why are the three first baselines evaluated only by macro f1 and the individual f1 scores are missing?
This is not explained in the text. Second, why is only the ""PN"" model presented? Is this the same PN as in Table 1, or actually the Joint Model? What about the other three?
- It is not mentioned which dataset the experiment described in Table 4 was performed on.
General Discussion: - 132: There has to be a lengthier introduction to pointer networks, mentioning recurrent neural networks in general, for the benefit of readers unfamiliar with ""sequence-to-sequence models"". Also, the citation of Sutskever et al. (2014) in line 145 should be at the first mention of the term, and the difference with respect to recursive neural networks should be explained before the paragraph starting in line 233 (tree structure etc.).
- 348: The elu activation requires an explanation and citation (still not enough well-known).
- 501: ""MC"", ""Cl"" and ""Pr"" should be explained in the label.
- 577: A sentence about how these hyperparameters were obtained would be appropriate.
- 590: The decision to do early stopping only by link prediction accuracy should be explained (i.e. why not average with type accuracy, for example?).
- 594: Inference at test time is briefly explained, but would benefit from more details.
- 617: Specify what the length of an AC is measured in (words?).
- 644: The referent of ""these"" in ""Neither of these"" is unclear.
- 684: ""Minimum"" should be ""Maximum"".
- 694: The performance w.r.t. the amount of training data is indeed surprising, but other models have also achieved almost the same results - this is especially surprising because NNs usually need more data. It would be good to say this.
- 745: This could alternatively show that structural cues are less important for this task.
- Some minor typos should be corrected (e.g. ""which is show"", line 161).
[1] Rinott, Ruty, et al. ""Show Me Your Evidence-an Automatic Method for Context Dependent Evidence Detection."" EMNLP. 2015.
[2] Laha, Anirban, and Vikas Raykar. "" An Empirical Evaluation of various Deep Learning Architectures for Bi-Sequence Classification Tasks."" COLING. 2016.",5,3,"the review comment makes claims about specific areas that need clarification or improvement within the paper. it highlights a lack of clarity in the pooling method for embedding features and the explanation of equation (7). however, while these issues are identified, the review lacks detailed reasoning or examples for the authors to understand why these are problematic. the reviewer does suggest that e_i needs more precise definition and that the lhs of equation (7) might be better represented as a conditional probability. yet, the support for these claims is somewhat vague, lacking explicit, detailed explanations or references to external work. therefore, while the claims are supported to a certain degree, more detailed justification is required for a higher verifiability score.",no claim,"the review point consists of specific questions and factual observations regarding ambiguities in the presentation of the model and specific equations in the paper. it does not contain subjective opinions, suggestions, or claims that require justification or evidence to support them. the reviewer is asking for clarifications on the pooling method and the meaning of variables in an equation, as well as noting a potentially incorrect expression. therefore, these aspects fall under the category of general questions and objective statements, which do not necessitate verification.",4,"the comment contains claims that 'two things must be improved in the presentation of the model' regarding the unclear elements: the pooling method and equation (7). the reviewer provides specific details about these issues, such as the question about the random variable e_i and the conditional probability aspect of the equation, which offers mostly verifiable support. the clarity of these points helps in understanding the basis for the claims."
"1. The main weakness of this paper is the experiments section. The results are presented only on CIFAR-10 dataset and do not consider many other datasets from Federated learning benchmarks (e.g., LEAF https://leaf.cmu.edu/). The authors should see relevant works like (FedProx https://arxiv.org/abs/1812.06127) and (FedMAX, https://arxiv.org/abs/2004.03657 (ECML 2020)) for details on different datasets and model types. If the experimental evaluation was comprehensive enough, this would be a very good paper (given the interesting and important problem it addresses).",ICLR_2022_562,"1. The main weakness of this paper is the experiments section. The results are presented only on CIFAR-10 dataset and do not consider many other datasets from Federated learning benchmarks (e.g., LEAF https://leaf.cmu.edu/). The authors should see relevant works like (FedProx https://arxiv.org/abs/1812.06127) and (FedMAX, https://arxiv.org/abs/2004.03657 (ECML 2020)) for details on different datasets and model types. If the experimental evaluation was comprehensive enough, this would be a very good paper (given the interesting and important problem it addresses). 2. One other thing (although this is not the main focus of this paper), the authors should provide comparisons between strategies that result in fast convergence (without sparsity) vs. sparse methods? For example, do non-sparse, fast convergence methods (like FedProx, FedMAX, and others) result in small enough number of epochs compared to sparse methods? Can the fast convergence methods be augmented with sparisity ideas successfully without resulting in significant loss of accuracy? Some discussion and possibly performance numbers are needed here.",5,5,"the review point contains a claim that the experiments section is a primary weakness because it only presents results on the cifar-10 dataset and does not include other datasets from federated learning benchmarks. this claim is thoroughly supported by clear reasoning, as the reviewer suggests the inclusion of additional datasets, specifically referencing leaf, and provides external references to relevant works, namely fedprox and fedmax, to improve the comprehensiveness of the experimental evaluation. the mention of these references and datasets provides strong and specific evidence to support the claim, making it fully verifiable.",5,"the review point identifies a specific weakness in the paper—limited experimentation solely on the cifar-10 dataset. the reviewer provides thorough evidence by suggesting additional datasets from the federated learning benchmarks like leaf, and points to external references such as fedprox and fedmax papers that detail different datasets and model types. the claim is robustly supported with relevant references, making it fully verifiable. the reviewer also highlights the potential impact of addressing this issue, thus guiding the authors to improve their paper.",5,"the claims are that the experiments section is the main weakness, as it only presents results on the cifar-10 dataset and does not consider many other datasets from federated learning benchmarks. these claims are thoroughly supported with specific examples, references to external works, and suggestions on how to improve by looking at relevant works like fedprox and fedmax. this provides clear and precise reasoning that helps the authors understand the claim and how to address it."
"1. By reviewing your code and the details in the article, I can see that your workload is immense, however, the contribution of this article is incremental. My understanding is that it is essentially a combination of GraphRAG and GraphCare [1]. Furthermore, many key baselines were not cited. Since the authors mentioned that this paper focuses on RAG for EHR, some essential RAG algorithms should have been introduced, such as MedRetriever [2], and commonly used GraphRAG algorithms like KGRAG [3].",8fLgt7PQza,"1. By reviewing your code and the details in the article, I can see that your workload is immense, however, the contribution of this article is incremental. My understanding is that it is essentially a combination of GraphRAG and GraphCare [1]. Furthermore, many key baselines were not cited. Since the authors mentioned that this paper focuses on RAG for EHR, some essential RAG algorithms should have been introduced, such as MedRetriever [2], and commonly used GraphRAG algorithms like KGRAG [3].
2. In the experiment or appendix section, I did not clearly see the formulas for Sensitivity and Specificity, nor were there any corresponding references, which is quite confusing to me. Moreover, using Accuracy as a metric in cases of highly imbalanced labels is unreasonable. For instance, in the MIMIC-III Mortality Prediction task, the positive rate is 5.42%. If I predict that all patients will survive, I can still achieve an accuracy of 94.58%. Previous works, such as GraphCare [1], have adopted AUROC and AUPRC as evaluation metrics.
3. The article is overly long and filled with detailed content, making it easy for readers to miss important points.
- [1] GraphCare: Enhancing Healthcare Predictions with Personalized Knowledge Graphs. ICLR 2024
- [2] MedRetriever: Target-driven interpretable health risk prediction via retrieving unstructured medical text. CIKM 2021
- [3] Biomedical knowledge graph-enhanced prompt generation for large language models. Arxiv 2023",5,3,"the review point contains several claims: the workload is immense, the article's contribution is incremental and akin to a combination of graphrag and graphcare; key baselines were not cited; essential algorithms should have been introduced. the justification is somewhat provided: the combination of existing methods implies incremental contribution; however, the reasoning lacks detailed examples or further explanation. the claim about missing citations suggests that some algorithms should have been discussed, but it primarily relies on the reader's knowledge of the significance of these algorithms, which requires further elaboration. some support is provided but there are key missing elements, which makes it require significant effort from the authors to follow the justification.",5,"the review point provides a clear and precise reasoning for its claims, explicitly comparing the article's contribution with existing work, and citing specific references. the reviewer highlights that the contribution appears incremental by stating it is essentially a combination of graphrag and graphcare, and provides relevant citations [1]. the reviewer further supports their claim about missing citations by specifically identifying key algorithms that should have been included, such as medretriever and kgrag, and providing references for these [2, 3]. this detailed explanation and referencing thoroughly supports the claims, making them fully verifiable.",5,"the claims are that the contribution is incremental and many key baselines were not cited, justified by the comparison to graphrag and graphcare, and the suggestion of additional references such as medretriever and kgrag. this is fully verifiable due to the clear reasoning and references to specific prior works."
1. The experimental comparisons are not enough. Some methods like MoCo and SimCLR also test the results with wider backbones like ResNet50 (2×) and ResNet50 (4×). It would be interesting to see the results of proposed InvP with these wider backbones.,NIPS_2020_295,"1. The experimental comparisons are not enough. Some methods like MoCo and SimCLR also test the results with wider backbones like ResNet50 (2×) and ResNet50 (4×). It would be interesting to see the results of proposed InvP with these wider backbones. 2. Some methods use epochs and pretrain epochs as 200, while the reported InvP uses 800 epochs. What are the results of InvP with epochs as 200? It would be more clear after adding these results into the tables. 3. The proposed method adopts memory bank to update vi, as detailed in the beginning of Sec.3. What the results would be when adopting momentum queue and current batch of features? As the results of SimCLR and MoCo are better than InsDis, it would be nice to have those results.",5,4,"the review point contains a claim suggesting that the experimental comparisons are not sufficient, and it suggests testing the proposed invp with wider backbones like resnet50 (2×) and resnet50 (4×), similar to other methods like moco and simclr. this claim is mostly verifiable as the reviewer provides some justification by comparing the experiment's setup with other methods. while the reasoning is logical and based on common knowledge of the field, the reviewer could enhance the comment by providing more detailed reasoning on why using wider backbones would be beneficial for the study. however, the current level of detail is sufficient for the authors to consider the inclusion of such experiments.",4,"the review point contains a claim that the experimental comparisons are not enough and suggests that additional comparisons using wider backbones like resnet50 (2×) and resnet50 (4×) should be included. the reviewer justifies this claim by referencing common methods like moco and simclr, which are known in the field for testing results with these wider backbones. this provides a sufficient and mostly verifiable basis for the claim, grounded in common practice. however, the reviewer could enhance the claim by further explaining why using wider backbones would provide more valuable insights or specific improvements. therefore, it is rated as 'mostly verifiable'.",3,"the claim here is that 'the experimental comparisons are not enough,' suggesting that testing with wider backbones like resnet50 (2×) and resnet50 (4×) could add value. the comment provides partial support by referencing methods like moco and simclr, but lacks a deeper explanation or evidence on why this would be beneficial specifically for the paper's proposed method, invp. the justification is not fully articulated, making it somewhat verifiable."
"2. The authors need to show a graph showing the plot of T vs number of images, and Expectation(T) over the imagenet test set. It is important to understand whether the performance improvement stems solely from the network design to exploit spatial redundancies, or whether the redudancies stem from the nature of ImageNet, ie., large fraction of images can be done with Glance and hence any algorithm with lower resolution will have an unfair advantage. Note, algorithms skipping layers or channels do not enjoy this luxury.",NIPS_2020_204,"1.The authors have done a good job with placing their work appropriately. One point of weakness is insufficient comparison to approaches that aim to reduce spatial redudancy, or make the networks more efficient specifically the ones skipping layers/channels. Comparison to OctConv and SkipNet even for a single datapoint with say the same backbone architecture will be valuable to the readers. 2. The authors need to show a graph showing the plot of T vs number of images, and Expectation(T) over the imagenet test set. It is important to understand whether the performance improvement stems solely from the network design to exploit spatial redundancies, or whether the redudancies stem from the nature of ImageNet, ie., large fraction of images can be done with Glance and hence any algorithm with lower resolution will have an unfair advantage. Note, algorithms skipping layers or channels do not enjoy this luxury. 3. The authors should add results from [57] and discuss the comparison. Recent alternatives to MSDNets should be compared and discussed. 4. Efficient backbone architectures and approaches tailoring the computation by controlling convolutional operator have the added advantage that they can be generally applied to semantic (object recognition) and dense pixel-wise tasks. Extension of this approach, unlike other approaches exploiting spatial redundancy to alternate vision tasks is not straightforward. The authors should discuss the implications of this approach to other vision tasks.",5,2,"the review point contains a claim that the authors need to show a specific graph to understand the source of performance improvement, suggesting that the current analysis might be lacking. the justification provided is somewhat vague, mentioning the need to determine if improvements come solely from network design or from specific characteristics of the imagenet dataset. while the reviewer states this is important to distinguish and discusses the potential for unfair advantage, the reasoning behind why this graph specifically would elucidate these issues is not clearly articulated. the authors may struggle to fully understand the justification for the suggested changes without further explanation. thus, it is borderline verifiable with some support but lacking in detailed rationale.",3,"the review point contains a claim suggesting that the authors need to provide a graph to clarify whether the performance improvement is due to the network design or the nature of imagenet. the reviewer raises a valid point regarding the potential for an unfair advantage from exploiting spatial redundancies. however, the justification for this claim is somewhat limited, as it lacks detailed reasoning or references to support the idea that a large fraction of images can be done with lower resolution or that this would confer an advantage. the reviewer provides some reasoning, but there is room for a more detailed explanation to fully support the claim, so it requires some effort from the authors to interpret and act on the suggestions.",3,"the claim in this review point suggests the need to understand the performance improvement source. while it points out a potential issue—whether performance gains are due to network design or dataset characteristics—it provides some reasoning for why this analysis is important. however, it lacks specific examples or detailed justification, requiring significant effort from authors to follow the justification."
"1) The proposed method cannot handle the headpose. While this paper defers this problem to a future work, a previous work (e.g., Gafni et al. ICCV 2021) is already able to control both facial expression and headpose. Why is it not possible to condition the headpose parameters in the NeRF beyond the facial expression similar to [Gafni et al. ICCV 2021]?",ICLR_2022_1420,"Weakness:
Lack of novelty. The key idea, i.e., combining foreground masks to remove the artifacts from the background, is not new. Separate handling of foreground from background is a common practice for dynamic scene novel view synthesis, and many recent methods do not even require the foreground masks for modeling dynamic scenes (they jointly model the foreground region prediction module, e.g., Tretschk et al. 2021).
Lack of controllability. 1) The proposed method cannot handle the headpose. While this paper defers this problem to a future work, a previous work (e.g., Gafni et al. ICCV 2021) is already able to control both facial expression and headpose. Why is it not possible to condition the headpose parameters in the NeRF beyond the facial expression similar to [Gafni et al. ICCV 2021]? 2) Even for controlling facial expression, it is highly limited to the mouth region only. From overall qualitative results and demo video, it is not clear the method indeed can handle overall facial expression including eyes, nose, and wrinkle details, and the diversity in mouth shape that the model can deliver is significantly limited.
Low quality. The results made by the proposed method are of quite low quality. 1) Low resolution: While many previous works introduce high-quality view synthesis results with high-resolution (512x512 or more), this paper shows low resolution results (256x256) for some reasons. Simply saying the problem of resources is not a convincing argument since many existing works already proved the feasibility of high resolution image synthesis using implicit function. Due to this low-resolution nature, many high-frequency details (e.g., facial wrinkles), which are the key to enabling photorealistic face image synthesis, are washed out. 2) In many cases, the conditioning facial expressions do not match that from the synthesized image. From the demo video, while mouth opening or closing are somehow synchronized with conditioning videos, there exists a mismatch in the style of the detailed mouth shape.",5,4,"the review point contains a claim that the proposed method cannot handle headpose. the reviewer supports this claim by referencing a previous work (gafni et al. iccv 2021) that can control both facial expression and headpose. although the mention of a specific prior work adds verifiability, the reviewer does not explain why the current method cannot incorporate headpose control like the cited work. therefore, while the comment is mostly verifiable due to the reasonable comparison with existing literature, minor gaps in detail and reasoning prevent it from being fully verifiable.",5,"the review point is fully verifiable as the claim made involves a specific comparison with previous work (gafni et al., iccv 2021). the reference to this specific work provides a clear basis for the claim, as it mentions that the referenced work already addresses the issue of controlling both facial expression and headpose, which the current paper does not handle. this comparison and the provided reference allow the authors to clearly understand the claim and address it by looking into the referenced work. moreover, the reviewer questions the possibility of extending the current method to include headpose parameters, directly relating to the referenced work and its capabilities, thus providing a logical and common-sense avenue for verification.",5,"the claim is 'cannot handle the headpose,' suggesting a limitation in the proposed method. it is fully verifiable as it provides a reference to a previous work (gafni et al. iccv 2021) that has already addressed this issue, making the claim thoroughly supported by evidence."
"- The main weaknesses of the paper are the experiments, which is understandable for a short paper but I'd still expect it to be stronger. First, the setting is only on extremely low-resource regime, which is not the only case we want to use data augmentation in real-world applications. Also, sentence classification is an easier task. I feel like the proposed augmentation method has potential to be used on more NLP tasks, which was unfortunately not shown.",ARR_2022_311_review,"- The main weaknesses of the paper are the experiments, which is understandable for a short paper but I'd still expect it to be stronger. First, the setting is only on extremely low-resource regime, which is not the only case we want to use data augmentation in real-world applications. Also, sentence classification is an easier task. I feel like the proposed augmentation method has potential to be used on more NLP tasks, which was unfortunately not shown.
- The proposed mixup strategy is very simple (Equation 5), I wonder if the authors have tried other ways to interpolate the one-hot vector with the MLM smoothed vector.
- How does \lambda influence the performances?
- How does the augmentation method compare to other baselines with more training data?",5,2,"the review point contains several claims about the weaknesses of the paper's experiments. it mentions that the experiments are weak, constrained to extremely low-resource regimes, and only applied to sentence classification. while the reviewer provides some context, such as the limitations of a short paper and an opinion that the augmentation method could be used on more nlp tasks, these points are not sufficiently supported with explicit examples, detailed explanations, or references. the justification is vague, particularly regarding what other experimental settings and nlp tasks could have been explored, making it difficult for the authors to follow the reviewer's reasoning and suggestions fully.",3,"the review comment includes several claims that are somewhat supported. the reviewer mentions weaknesses in the paper's experiments, specifically stating that the setting is on an extremely low-resource regime and that sentence classification is an easier task. they suggest that the augmentation method has potential for more nlp tasks, which wasn't shown. the reviewer provides reasoning to some extent, by pointing out the limited experimental setting and the simplicity of the task, but lacks detailed examples, references, or specific justifications to fully support their claims. this makes it somewhat verifiable as authors will have to infer further details on their own to completely follow the justification.",3,"the review point contains several claims: 'main weaknesses of the paper are the experiments,' 'setting is only on extremely low-resource regime,' and 'sentence classification is an easier task.' the reviewer suggests improvements and expresses expectations for stronger experiments. however, the justification provided lacks depth and specific examples, making it somewhat verifiable but leaving room for more detailed support."
"3. The adopted baseline models are weak. First of all, the author does not compare to Campos et al. (2020), which also uses feedback in QA tasks. Second, they also do no comparison with other domain adaptation methods, such as those work cited in Section 8. Line 277: “The may be attributed…” -> “This may be attributed…",ARR_2022_68_review,"1. Despite the well-motivated problem formulation, the simulation is not realistic. The author does not really collect feedback from human users but derives them from labeled data. One can imagine users can find out that returned answers are contrastive to commonsense. For instance, one can know that “Tokyo” is definitely a wrong answer to the question “What is the capital of South Africa?”. However, it is not very reasonable to assume that the users are knowledgeable enough to provide both positive and negative feedback. If so, why do they need to ask QA models? And what is the difference between collecting feedback and labeling data?
In conclusion, it would be more realistic to assume that only a small portion of the negative feedback is trustworthy, and there may be little or no reliable positive feedback. According to the experiment results, however, 20% of feedback perturbation makes the proposed method fail.
Therefore, the experiment results cannot support the claim made by authors.
2. There is a serious issue of missing related work. As mentioned above, Campos et al. (2020) has already investigated using user feedback to fine-tune deployed QA models. They also derive feedback from gold labels and conduct experiments with both in-domain and out-of-domain evaluation. The proposed methods are also similar: upweighting or downweighting the likelihood of predicted answer according to the feedback.
Moreover, Campos et al. (2020) has a more reasonable formulation, where there could be multiple feedback for a certain pair of questions and predicted answers. 3. The adopted baseline models are weak. First of all, the author does not compare to Campos et al. (2020), which also uses feedback in QA tasks. Second, they also do no comparison with other domain adaptation methods, such as those work cited in Section 8.
Line 277: “The may be attributed…” -> “This may be attributed…",5,4,"the review point contains a claim that the adopted baseline models are weak. the reviewer supports this claim by stating that the author did not compare their work with campos et al. (2020), which also uses feedback in qa tasks, and did not make comparisons with other domain adaptation methods referenced in section 8. while the comments mostly provide logical reasoning to support the claim, they could be more explicit in explaining why such comparisons are necessary or how they would strengthen the authors' work. therefore, the score is rated as mostly verifiable.",5,"the review point contains explicit claims about the weaknesses in the choice of baseline models, supported by detailed explanations. the reviewer points out that the authors do not compare their results to campos et al. (2020), despite it being relevant as it uses feedback in qa tasks, and notes the lack of comparison with other domain adaptation methods referenced in section 8. these statements are backed by logical reasoning and references, providing a thorough and robust justification for the claims. thus, the comment is fully verifiable.",3,"the claim that 'the adopted baseline models are weak' is somewhat verifiable. the reviewer provides some context by mentioning the lack of comparison with specific works, which gives partial support to the claim. however, the rationale could have been more comprehensive with further explanation or justification."
"2 More analysis and comments are recommended on the performance trending of increasing the number of parameters for ViT (DeiT) in the Figure 3. I disagree with authors' viewpoint that ""Both CNNs and ViTs seem to benefit similarly from increased model capacity"". In the Figure 3, the DeiT-B models does not outperform DeiT-T in APTOS2019, and it does not outperform DeiT-S on APTOS2019, ISIC2019 and CheXpert (0.1% won't be significant). However, CNNs can give more almost consistent model improvements as the capacity goes up except on the ISIC2019.",ICLR_2022_1794,"1 Medical imaging are often obtained in 3D volumes, not only limited to 2D images. So experiments should include the 3D volume data as well for the general community, rather than all on 2D images. And the lesion detection is another important task for the medical community, which has not been studied in this work.
2 More analysis and comments are recommended on the performance trending of increasing the number of parameters for ViT (DeiT) in the Figure 3. I disagree with authors' viewpoint that ""Both CNNs and ViTs seem to benefit similarly from increased model capacity"". In the Figure 3, the DeiT-B models does not outperform DeiT-T in APTOS2019, and it does not outperform DeiT-S on APTOS2019, ISIC2019 and CheXpert (0.1% won't be significant). However, CNNs can give more almost consistent model improvements as the capacity goes up except on the ISIC2019.
3 On the segmentation mask involved with cancer on CSAW-S, the segmentation results of DEEPLAB3-DEIT-S cannot be concluded as better than DEEPLAB3-RESNET50. The implication that ViTs outperform CNNs in this segmentation task cannot be validly drawn from an 0.2% difference with larger variance.
Questions: 1 For the grid search of learning rate, is it done on the validation set?
Minor problems: 1 The n number for Camelyon dataset in Table 1 is not consistent with the descriptions in the text in Page 4.",5,5,"the review point presents a claim that additional analysis and comments on performance trending are required, along with disagreement with the authors' perspective on the benefits of increased model capacity for cnns and vits. the reviewer fully verifies their disagreement by referencing figure 3 and providing specific examples: deit-b models' performance compared to deit-t on aptos2019, and deit-s on aptos2019, isic2019, and chexpert. they also point out that cnns provide more consistent performance improvements with increasing capacity, except on isic2019. this thorough referencing of data and logical reasoning makes the justification highly robust and verifiable.",5,"the review point contains a clear claim that the author's viewpoint about the benefits of increased model capacity for vits and cnns is incorrect. it thoroughly supports this claim by referring to specific evidence from figure 3 and providing a detailed analysis of the performance differences across various datasets (aptos2019, isic2019, and chexpert). it highlights specific cases where deit models do not show significant improvement, offering quantitative evidence (e.g., 0.1% difference) and noting consistent improvements in cnns. this precise reasoning and specific reference to evidential data make the claim fully verifiable.",5,"the claim is the disagreement with the authors' viewpoint that both cnns and vits benefit similarly from increased model capacity. this claim is thoroughly supported by specific observations from figure 3 regarding performance comparisons between deit-b, deit-t, and deit-s models on various datasets, showcasing how vits do not consistently outperform as capacity increases, unlike cnns. the reviewer's argument is backed by clear evidence and analysis, making it fully verifiable."
"- In figure 5, the y-axis label may use ""Exact Match ratio"" directly.",ARR_2022_113_review,"The methodology part is a little bit unclear. The author could describe clearly how the depth-first path completion really works using Figure 3. Also, I'm not sure if the ZIP algorithm is proposed by the authors and also confused about how the ZIP algorithm handles multiple sequence cases.
- Figure 2, it is not clear about ""merge target"". If possible, you may use a shorter sentence.
- Line 113 (right column), will the lattice graph size explode? For a larger dataset, it may impossible to just get the lattice graph, am I right? How should you handle that case?
- Algorithm 1 step 4 and 5, you may need to give the detailed steps of *isRecomb* and *doRecomb* in the appendix.
- Line 154 left, ""including that it optimizes for the wrong objective"". Can you clearly state what objective? why the beam search algorithm is wrong? Beam search is a greedy algorithm that can recover the best output with high probability.
- For the ZIP method, one thing unclear to me is how you combine multiple sequences by if they have different lengths of shared suffixes?
- Line 377, is BFSZIP an existing work? If so, you need to cite their work. - In figure 5, the y-axis label may use ""Exact Match ratio"" directly.
- Line 409, could you cite the ""R2"" metric?
- Appendix A, the authors state ""better model score cannot result in better hypothesis"". You'd better state clearly what idea hypothesis you want. "" a near-optimal model score"" this sentence is unclear to me, could you explain in detail?
- In line 906, it is clear from the previous papers that Beam search results lack diversity and increase the beam size does not work. Can you simplify the paragraph?",5,2,"the review point suggests a change to the y-axis label in figure 5 to use 'exact match ratio' directly, which indicates an implicit claim about the appropriateness or clarity of the current label. however, the suggestion does not provide any reasoning, explanation, or justification for why this change would be beneficial or necessary. the authors might struggle to understand why this suggestion is made without further context. hence, it is rated as borderline verifiable.",no claim,"the review point provides a suggestion to change the label on the y-axis of a figure to 'exact match ratio'. this is a factual suggestion about a possible improvement in labeling and does not contain any subjective opinion, claim, or need for justification. it is purely descriptive, focusing on clarity in presentation, and thus falls under 'no claim'.",no claim,"the review point suggests a change in labeling for clarity, but it does not contain a subjective opinion or claim that requires verification. it simply indicates a possible revision for clarity."
"4) The rock-paper-scissors example is clearly inspired by an example that appeared in many previous work. Please, cite the source appropriately.",NIPS_2018_707,"weakness of the paper is the lack of experimental comparison with the state of the art. The paper spends whole page explaining reasons why the presented approach might perform better under some circumstances, but there is no hard evidence at all. What is the reason not to perform an empirical comparison to the joint belief state approach and show the real impact of the claimed advantages and disadvantages? Since this is the main point of the paper, it should be clear when the new modification is useful. 3) Furthermore, there is an incorrect statement about the performance of the state of the art method. The paper claims that ""The evidence suggests that in the domain we tested on, using multi-valued states leads to better performance."" because the alternative approach ""was never shown to defeat prior top AIs"". This is simply incorrect. Lack of an experiment is not evidence for superiority of the method that performed the experiment without any comparison. 4) The rock-paper-scissors example is clearly inspired by an example that appeared in many previous work. Please, cite the source appropriately. 5) As explained in 1), the presented method is quite heuristic. The algorithm does not actually play the blueprint strategy, only few values are used in the leaf states, which cannot cover the whole variety of the best response values. In order to assess whether the presented approach might be applicable also for other games, it would be very useful to evaluate it on some substantially different domains, besides poker. Clarity: The paper is well written and organized, and it is reasonably easy to understand. The impact of the key differences between the theoretic inspiration and the practical implementation should be explained more clearly. Originality: The presented method is a novel modification of continual resolving. The paper clearly explains the main distinction form the existing method. Significance: The presented method seems to substantially reduce the computational requirements of creating a strong poker bot. If this proofs to be the case also for some other imperfect information games, it would be a very significant advancement in creating algorithms for playing these games. Detailed comments: 190: I guess the index should be 1 339: I would not say MCCFR is currently the preferred solution method, since CFR+ does not work well with sampling 349: There is no evidence the presented method would work better in stratego. It would depend on the specific representation and how well would the NN generalize over the types of heuristics. Reaction to rebuttal: 1) The formulation of the formal statement should be clearer. Still, while you are using the BR values from the blueprint strategy in the computation, I do not see how the theory can give you any real bounds the way you use the algorithm. One way to get more realistic bounds would be to analyze the function approximation version and use error estimates from cross-valiadation. 2) I do not believe head-to-head evaluation makes too much sense because of well known intransitivity effects. However, since the key difference between your algorithm and DeepStack is the form of the used leaf evaluation function, it would certainly not take man-years to replace the evaluation function with the joint belief in your framework. It would be very interesting to see comparison of exploitability and other trade-offs on smaller games, where we can still compute it. 4) I meant the use of the example for save resolving. 5) There is no need for strong agents for some particular games to make rigorous evaluation of equilibrium solving algorithms. You can compute exploitability in sufficiently large games to evaluate how close your approach is to the equilibrium. Furthermore, there are many domain independent algorithms for approaximating equilibriua in these games you can compare to. Especially the small number of best response values necessary for the presented approach is something that would be very interesting to evaluate in other games. Line 339: I just meant that I consider CFR+ to be ""the preferred domain-independent method of solving imperfect-information games"", but it is not really important, it was a detailed comment.",5,2,"the review point contains a claim that the rock-paper-scissors example is inspired by previous work and asks the authors to cite the source. however, it lacks specific details or references to support this claim, such as mentioning which prior work or examples it refers to. this makes the justification somewhat vague and insufficient for the authors to easily verify or address the reviewer's request.",2,"the review point contains a claim that the rock-paper-scissors example is inspired by a prior example in many previous works and requests that a source be cited. however, it fails to provide any specific references, examples, or detailed explanations to verify the claim, making it difficult for the authors to know which sources need to be cited. the comment provides some support for its claim by indicating that prior work exists, but the lack of specificity results in insufficient justification, leading to a borderline verifiable score.",4,"the claim is that the rock-paper-scissors example is clearly inspired by previous work, and the reviewer suggests citing the source appropriately. this claim is mostly verifiable as it relies on the common knowledge that this example has been used before in literature. the verification could be stronger if specific references to prior work are provided."
