review_point,paper_id,focused_review,grounding_specificity_label,chatgpt_grounding_specificity_definitions_score,chatgpt_grounding_specificity_definitions_rationale,chatgpt_grounding_specificity_definitions_examples_score,chatgpt_grounding_specificity_definitions_examples_rationale,chatgpt_grounding_specificity_definitions_incontext_learning_score,chatgpt_grounding_specificity_definitions_incontext_learning_rationale
"- it is always easier to show something (i.e. attention in seq2seq MTL) is not working, but the value would lie in finding out why it fails and changing the attention mechanism so that it works.",ACL_2017_365_review,"1) Instead of arguing that the MTL approach replaces the attention mechanism, I think the authors should investigate why attention did not work on MTL, and perhaps modify the attention mechanism so that it would not harm performance.
2) I think the authors should reference past seq2seq MTL work, such as [2] and [3]. The MTL work in [2] also worked on non-attention seq2seq models.
3) This paper only tested on one German historical text data set of 44 documents. It would be interesting if the authors can evaluate the same approach in another language or data set.
References: [1] Allen Schmaltz, Yoon Kim, Alexander M. Rush, and Stuart Shieber. 2016.
Sentence-level grammatical error identification as sequence-to-sequence correction. In Proceedings of the 11th Workshop on Innovative Use of NLP for Building Educational Applications.
[2] Minh-Thang Luong, Ilya Sutskever, Quoc V. Le, Oriol Vinyals, and Lukasz Kaiser. Multi-task Sequence to Sequence Learning. ICLR’16. [3] Dong, Daxiang, Wu, Hua, He, Wei, Yu, Dianhai, and Wang, Haifeng.
Multi-task learning for multiple language translation. ACL'15 --------------------------- Here is my reply to the authors' rebuttal: I am keeping my review score of 3, which means I do not object to accepting the paper. However, I am not raising my score for 2 reasons: - the authors did not respond to my questions about other papers on seq2seq MTL, which also avoided using attention mechanism. So in terms of novelty, the main novelty lies in applying it to text normalization.
- it is always easier to show something (i.e. attention in seq2seq MTL) is not working, but the value would lie in finding out why it fails and changing the attention mechanism so that it works.",2.0,1,"the review point is not grounded at all and does not mention any specific part of the paper. it raises a generic issue about showing why something is not working and suggests improving it, but it does not provide any specific context or details about which part of the paper this relates to or what specifically needs attention. consequently, the authors would have difficulty identifying what part of their paper this comment addresses or what specific changes are being recommended.",1,"the review point is not grounded as it does not specify a particular section, figure, or part of the paper that it is addressing. it also lacks specificity, as it does not clearly identify what is wrong with the attention mechanism in the seq2seq mtl or what needs to be improved. the comment is quite general and does not provide actionable guidance to the authors on what aspect of their work needs revision. consequently, the authors would find it challenging to discern the exact issue or how to address it based on this comment.",2,"the comment is weakly grounded because it doesn't explicitly mention a specific part of the paper or provide clear context that allows the authors to identify where exactly the issue lies. it hints at the seq2seq mtl attention mechanism, but without specific sections, figures, or tables referred to, it's not fully grounded. additionally, it's not specific in detailing what needs to be addressed or modified to improve the draft."
- Relies on supplemental space to contain the paper. The paper is not truly independent given this problem (esp. S3.1 reference to Sup. Fig. 6) and again later as noted with the model comparison and other details of the span vs. sentence investigation.,ARR_2022_303_review,"- Citation type recognition is limited to two types –– dominant and reference –– which belies the complexity of the citation function, which is a significant line of research by other scholars. However this is more of a choice of the research team in limiting the scope of research.
- Relies on supplemental space to contain the paper. The paper is not truly independent given this problem (esp. S3.1 reference to Sup. Fig. 6) and again later as noted with the model comparison and other details of the span vs. sentence investigation.
- The previous report of SciBERT were removed, but this somewhat exacerbates the earlier problem in v1 where the analyses of the outcomes of the models was too cursory and unsupported by deeper analyses. However, this isn't very fair to write as a weakness because the current paper just simply doesn't mention this.
- Only having two annotators for the dataset is a weakness, since it's not clear how the claims might generalise, given such a small sample.
- A summative demographics is inferrable but not mentioned in the text. Table 1's revised caption mentions 2.9K paragraphs as the size.
This paper is a differential review given that I previously reviewed the work in the Dec 2021 version submitted to ARR.
There are minor changes to the introduction section, lengthening the introduction and moving the related work section to the more traditional position, right after the introduction.
There are no rebuttals nor notes from the authors to interpret what has been changed from the previous submission, which could have been furnished to ease reviewer burden in checking (I had to read both the new and old manuscripts side by side and align them myself) Many figures could be wider given the margins for the column. I understand you want to preserve space to make up for the new additions into your manuscript, but the wider margins would help for legibility.
Minor changes were made S3.3 to incorporate more connection to prior work. S4.1 Model design was elaborated into subsections, S5.2.1 adds an introduction to LED.
462 RoBERTa-base",2.0,5,"the review point is fully grounded as it specifically references section s3.1 and sup. fig. 6 in the paper, which allows the authors to accurately identify the area being addressed. additionally, it clearly specifies the issue with the paper, which is its reliance on supplemental materials, making it not truly independent. this detailed feedback will help the authors know exactly where to focus their revisions and what needs to be addressed, fulfilling both grounding and specificity dimensions effectively.",5,"the review point is fully grounded and specific. it explicitly mentions the sections of the paper, such as s3.1 and the reference to sup. fig. 6, which clearly identifies the parts being addressed, making it easy for the authors to locate the areas in question. additionally, it specifies the issue related to the reliance on supplemental materials, indicating that the paper is not self-contained, especially in the context of model comparison and the span vs. sentence investigation. this level of detail helps guide the authors on what specific aspects need improvement, fulfilling both grounding and specificity criteria.",4,"the comment is fully grounded as it mentions specific references like 's3.1 reference to sup. fig. 6' and notes about the model comparison. however, it doesn't go into sufficient specificity about what exactly should be improved or how the reliance on supplemental space affects the independence of the paper."
1. Lack of numerical results. The reviewer is curious about how to apply it to some popular algorithms and their performance compared with existing DP algorithms.,NIPS_2022_670,1. Lack of numerical results. The reviewer is curious about how to apply it to some popular algorithms and their performance compared with existing DP algorithms. 2. The presentation of this paper is hard to follow for the reviewer.,2.0,2,"the comment is weakly grounded as it does not specify any particular section or part of the paper where numerical results should be included or improved. it gives a general indication that numerical results are lacking, but does not pinpoint a specific section that needs them. additionally, while it expresses curiosity about the application to popular algorithms, it does not specify which algorithms or what specific numerical comparisons should be incorporated. therefore, while the comment suggests an area for improvement, it lacks specificity and grounding in the context of the paper.",3,"the review point provides some specificity by indicating the need for numerical results and a comparison of performance with existing differential privacy (dp) algorithms. however, it is weakly grounded because it does not specify which specific part of the paper this comment applies to or which algorithms should be considered. the authors can infer that some results section may need elaboration, but cannot confidently determine exactly where to focus their improvements.",2,"the comment is weakly grounded and not specific. while it indicates a lack of numerical results and a curiosity about the application to popular algorithms, it does not specify where in the paper this issue arises or what exact details are missing. additionally, the comment does not guide the authors on how to address the issue."
"- I don't think the probabilistic connection is drawn very well. It doesn't seem to be made formally enough to take it as anything more than motivational which is fine, but I would suggest the authors either cement this connection more formally or adjust the language to clarify.",NIPS_2017_351,"- As I said above, I found the writing / presentation a bit jumbled at times.
- The novelty here feels a bit limited. Undoubtedly the architecture is more complex than and outperforms the MCB for VQA model [7], but much of this added complexity is simply repeating the intuition of [7] at higher (trinary) and lower (unary) orders. I don't think this is a huge problem, but I would suggest the authors clarify these contributions (and any I may have missed).
- I don't think the probabilistic connection is drawn very well. It doesn't seem to be made formally enough to take it as anything more than motivational which is fine, but I would suggest the authors either cement this connection more formally or adjust the language to clarify.
- Figure 2 is at an odd level of abstraction where it is not detailed enough to understand the network's functionality but also not abstract enough to easily capture the outline of the approach. I would suggest trying to simplify this figure to emphasize the unary/pairwise/trinary potential generation more clearly.
- Figure 3 is never referenced unless I missed it.
Some things I'm curious about:
- What values were learned for the linear coefficients for combining the marginalized potentials in equations (1)? It would be interesting if different modalities took advantage of different potential orders.
- I find it interesting that the 2-Modalities Unary+Pairwise model under-performs MCB [7] despite such a similar architecture. I was disappointed that there was not much discussion about this in the text. Any intuition into this result? Is it related to swap to the MCB / MCT decision computation modules?
- The discussion of using sequential MCB vs a single MCT layers for the decision head was quite interesting, but no results were shown. Could the authors speak a bit about what was observed?",2.0,2,"this review point is weakly grounded and not specific. while it addresses the issue of the 'probabilistic connection' in the paper, it does not provide enough information for the authors to confidently identify the specific part of the paper where this issue occurs, leading to weak grounding. additionally, the comment does not specify exactly what needs to be formally connected or what language adjustments are needed, making it unspecific.",3,"the comment is weakly grounded and specific. the authors may not be able to identify the precise section of the paper being addressed since the comment does not directly mention a specific section, figure, or table. the comment addresses the connection of a probabilistic concept, which could be anywhere in the paper, leaving some ambiguity. however, it is specific in detailing that the issue is with the clarity of the probabilistic connection and suggests that the connection be either formalized or clarified in the language. this specificity in what needs to be improved elevates it above a level 2 score.",3,"the comment is weakly grounded because it does not specify which section or part of the paper the 'probabilistic connection' is discussed in. however, it is specific in terms of what needs to be addressed: either formalizing the connection or adjusting the language."
"2. Structural optimization seems one of the main components and it has been emphasized several times. However, it seems the optimization algorithm is directly from some previous works. That is a little bit confusing and reduces the contribution.",ICLR_2022_3332,"Weakness: 1. The writing needs a lot of improvement. Many of the concepts or notations are not explained. For example, what do “g_\alpha” and “vol(\alpha)” mean? What is an “encoding tree”(I believe it is not a common terminology)? Why can the encoding tree be used a tree kernel? Other than complexity, what is the theoretic advantage of using these encoding trees? 2. Structural optimization seems one of the main components and it has been emphasized several times. However, it seems the optimization algorithm is directly from some previous works. That is a little bit confusing and reduces the contribution. 3. From my understanding, the advantage over WL-kernel is mainly lower complexity, but compared to GIN or other GNNs, the complexity is higher. That is also not convincing enough. Of course, the performance is superior, so I do not see it as a major problem, but I would like to see more explanations of the motivation and advantages. 4. If we do not optimize the structural entropy but just use a random encoding tree, how does it perform? I think the authors need this ablation study to demonstrate the necessity of structural optimization.",2.0,3,"the comment is weakly grounded and specific. the authors can infer that the review is addressing the section dealing with structural optimization, as that part is mentioned. however, it does not pinpoint a specific part like a section, figure, or table. the comment clearly specifies what needs to be addressed: the relationship between the structural optimization algorithm and previous works, as it affects the originality and contribution of the paper.",3,"the review comment is weakly grounded and specific. the authors would have some idea about the parts of the paper being addressed, particularly because 'structural optimization' is mentioned as being repeatedly emphasized, but the grounding is weak since it does not precisely identify a section or figure. however, the comment specifies the issue being that the optimization algorithm appears to be from previous works and this might reduce the contribution. this clear specification of what is wrong makes it fall under weakly grounded and specific.",2,"the comment is weakly grounded because it does not reference a specific section or part of the paper where structural optimization is discussed. it is not clear exactly where the optimization algorithm is described or how it relies on previous works. additionally, the comment does not offer specific guidance on what needs to be addressed regarding the presentation or originality of the optimization algorithm."
"- I was hoping to see some analysis of why the morph-fitted embeddings worked better in the evaluation, and how well that corresponds with the intuitive motivation of the authors.",ACL_2017_494_review,"- I was hoping to see some analysis of why the morph-fitted embeddings worked better in the evaluation, and how well that corresponds with the intuitive motivation of the authors. - The authors introduce a synthetic word similarity evaluation dataset, Morph-SimLex. They create it by applying their presumably semantic-meaning-preserving morphological rules to SimLex999 to generate many more pairs with morphological variability. They do not manually annotate these new pairs, but rather use the original similarity judgements from SimLex999.
The obvious caveat with this dataset is that the similarity scores are presumed and therefore less reliable. Furthermore, the fact that this dataset was generated by the very same rules that are used in this work to morph-fit word embeddings, means that the results reported on this dataset in this work should be taken with a grain of salt. The authors should clearly state this in their paper.
- (Soricut and Och, 2015) is mentioned as a future source for morphological knowledge, but in fact it is also an alternative approach to the one proposed in this paper for generating morphologically-aware word representations. The authors should present it as such and differentiate their work.
- The evaluation does not include strong morphologically-informed embedding baselines. General Discussion: With the few exceptions noted, I like this work and I think it represents a nice contribution to the community. The authors presented a simple approach and showed that it can yield nice improvements using various common embeddings on several evaluations and four different languages. I’d be happy to see it in the conference.
Minor comments: - Line 200: I found this phrasing unclear: “We then query … of linguistic constraints”.
- Section 2.1: I suggest to elaborate a little more on what the delta is between the model used in this paper and the one it is based on in Wieting 2015. It seemed to me that this was mostly the addition of the REPEL part.
- Line 217: “The method’s cost function consists of three terms” - I suggest to spell this out in an equation.
- Line 223: x and t in this equation (and following ones) are the vector representations of the words. I suggest to denote that somehow. Also, are the vectors L2-normalized before this process? Also, when computing ‘nearest neighbor’ examples do you use cosine or dot-product? Please share these details.
- Line 297-299: I suggest to move this text to Section 3, and make the note that you did not fine-tune the params in the main text and not in a footnote.
- Line 327: (create, creates) seems like a wrong example for that rule.
- I have read the author response",3.0,2,"the review point is weakly grounded and not specific. the comment hints at an analysis related to the 'morph-fitted embeddings', suggesting it addresses a part of the paper discussing evaluation results. however, it does not precisely identify which section or analysis part it refers to, leaving authors uncertain about the exact part of their paper being critiqued. additionally, the comment does not provide specific details on what is lacking or how the analysis can be improved, making it not specific regarding what needs to be addressed.",2,"the comment suggests that there is a lack of analysis regarding the morph-fitted embeddings in the evaluation section, implying the authors should provide more analysis. however, it does not explicitly mention which part of the paper it addresses or specify what exactly needs to be addressed within that part. the authors may have a hint or guess that it relates to sections discussing morph-fitted embeddings and their evaluation, but the comment lacks specific details about what is wrong or missing with these sections.",2,"the comment is weakly grounded and not specific. it hints at an analysis that is not present regarding the morph-fitted embeddings. however, it does not specify where in the paper this is relevant or what exactly needs to be addressed."
2. Would the use of feature engineering help in improving the performance? Uto et al. (2020)'s system reaches a QWK of 0.801 by using a set of hand-crafted features. Perhaps using Uto et al. (2020)'s same feature set could also improve the results of this work.,ARR_2022_121_review,"1. The writing needs to be improved. Structurally, there should be a ""Related Work"" section which would inform the reader that this is where prior research has been done, as well as what differentiates the current work with earlier work. A clear separation between the ""Introduction"" and ""Related Work"" sections would certainly improve the readability of the paper.
2. The paper does not compare the results with some of the earlier research work from 2020. While the authors have explained their reasons for not doing so in the author response along the lines of ""Those systems are not state-of-the-art"", they have compared the results to a number of earlier systems with worse performances (Eg. Taghipour and Ng (2016)).
Comments: 1. Please keep a separate ""Related Work"" section. Currently ""Introduction"" section of the paper reads as 2-3 paragraphs of introduction, followed by 3 bullet points of related work and again a lot of introduction. I would suggest that you shift those 3 bullet points (""Traditional AES"", ""Deep Neural AES"" and ""Pre-training AES"") to the Related work section.
2. Would the use of feature engineering help in improving the performance? Uto et al. (2020)'s system reaches a QWK of 0.801 by using a set of hand-crafted features. Perhaps using Uto et al. (2020)'s same feature set could also improve the results of this work.
3. While the out of domain experiment is pre-trained on other prompts, it is still fine-tuned during training on the target prompt essays. Typos: 1. In Table #2, Row 10, the reference for R2BERT is Yang et al. (2020), not Yang et al. (2019).
Missing References: 1. Panitan Muangkammuen and Fumiyo Fukumoto. "" Multi-task Learning for Automated Essay Scoring with Sentiment Analysis"". 2020. In Proceedings of the AACL-IJCNLP 2020 Student Research Workshop.
2. Sandeep Mathias, Rudra Murthy, Diptesh Kanojia, Abhijit Mishra, Pushpak Bhattacharyya. 2020. Happy Are Those Who Grade without Seeing: A Multi-Task Learning Approach to Grade Essays Using Gaze Behaviour. In Proceedings of the 2020 AACL-IJCNLP Main Conference.",3.0,3,"the review point suggests considering feature engineering to improve performance and refers to uto et al. (2020) as an example, achieving a high qwk score with hand-crafted features. however, it lacks clear indications of where in the document this suggestion should be applied, making the comment weakly grounded. the specificity is adequate as it provides a specific example (uto et al.'s feature set), indicating what needs to be addressed in this context. therefore, since the comment is weakly grounded but provides specific details for improvement, the appropriate score is 3.",5,"the review point is fully grounded and specific. it explicitly references the work of uto et al. (2020), a specific study that achieves a notable performance metric (qwk of 0.801) using hand-crafted features, which is clearly identifiable to the authors. additionally, the comment gives a specific suggestion to use uto et al.'s same feature set to potentially improve the results in the paper. this allows the authors to exactly identify where to apply the suggestion and gives them a clear direction on how to improve their draft by suggesting a precise methodology or feature set to enhance performance.",5,"the comment is fully grounded as it references a specific work (uto et al. 2020) and discusses the use of feature engineering, providing a concrete example of a system that successfully used such features. it is also specific in its suggestion, offering a potential way to improve the performance of the discussed system by using the same feature set that yielded a qwk of 0.801."
"- The paper claims the model generalizes to different knowledge but I think the substructure has to be represented as a sequence of words, e.g. it doesn't seem straightforward for me to use constituent parse as knowledge here. Finally, I'm hesitating to call it ""knowledge"". This is misleading as usually it is used to refer to world / external knowledge such as a knowledge base of entities, whereas here it is really just syntax, or arguably semantics if AMR parsing is used.",ACL_2017_128_review,"----- I'm not very convinced by the empirical results, mostly due to the lack of details of the baselines. Comments below are ranked by decreasing importance.
- The proposed model has two main parts: sentence embedding and substructure embedding. In Table 1, the baseline models are TreeRNN and DCNN, they are originally used for sentence embedding but one can easily take the node/substructure embedding from them too. It's not clear how they are used to compute the two parts.
- The model uses two RNNs: a chain-based one and a knowledge guided one. The only difference in the knowledge-guided RNN is the addition of a ""knowledge"" vector from the memory in the RNN input (Eqn 5 and 8). It seems completely unnecessary to me to have separate weights for the two RNNs. The only advantage of using two is an increase of model capacity, i.e. more parameters.
Furthermore, what are the hyper-parameters / size of the baseline neural networks? They should have comparable numbers of parameters.
- I also think it is reasonable to include a baseline that just input additional knowledge as features to the RNN, e.g. the head of each word, NER results etc.
- Any comments / results on the model's sensitivity to parser errors?
Comments on the model: - After computing the substructure embeddings, it seems very natural to compute an attention over them at each word. Is there any reason to use a static attention for all words? I guess as it is, the ""knowledge"" is acting more like a filter to mark important words. Then it is reasonable to include the baseline suggest above, i.e. input additional features.
- Since the weight on a word is computed by inner product of the sentence embedding and the substructure embedding, and the two embeddings are computed by the same RNN/CNN, doesn't it means nodes / phrases similar to the whole sentence gets higher weights, i.e. all leaf nodes?
- The paper claims the model generalizes to different knowledge but I think the substructure has to be represented as a sequence of words, e.g. it doesn't seem straightforward for me to use constituent parse as knowledge here.
Finally, I'm hesitating to call it ""knowledge"". This is misleading as usually it is used to refer to world / external knowledge such as a knowledge base of entities, whereas here it is really just syntax, or arguably semantics if AMR parsing is used.
-----General Discussion----- This paper proposes a practical model which seems working well on one dataset, but the main ideas are not very novel (see comments in Strengths). I think as an ACL paper there should be more takeaways. More importantly, the experiments are not convincing as it is presented now. Will need some clarification to better judge the results.
-----Post-rebuttal----- The authors did not address my main concern, which is whether the baselines (e.g. TreeRNN) are used to compute substructure embeddings independent of the sentence embedding and the joint tagger. Another major concern is the use of two separate RNNs which gives the proposed model more parameters than the baselines. Therefore I'm not changing my scores.",3.0,2,"the comment weakly grounds the issue by referring to the general claim about the model's ability to generalize to different knowledge. it does not specify which part of the paper, such as a section or statement, makes this claim, leaving the authors unable to accurately pinpoint the exact location of the issue. furthermore, while it questions the use of certain terms like 'knowledge' and the suitability of certain elements as knowledge representations, it does not provide enough specificity on what needs to be changed or clarified in the paper. the comment lacks concrete suggestions or detailed critique that would help the authors improve their explanation or justify their existing usage, leading to a weak grounding and unspecific assessment.",3,"the review comment addresses an issue related to the paper's claim about model generalization and the interpretation of 'knowledge'. however, it does not specifically mention where in the paper these claims are made, leaving the grounding weak. the comment is specific about what the reviewer finds misleading—the use of 'knowledge' to describe syntax or semantics rather than external world knowledge. therefore, while the comment is specific about what the problem is, it lacks full grounding because it doesn't direct the authors to a particular section of the paper.",3,"the comment is weakly grounded, as it does not explicitly mention where in the paper this claim is made, although the authors can likely infer the relevant part. the specificity is present because the reviewer provides a detailed critique of the claim, explaining the issues with the terminology and the underlying assumptions."
* This can be open for debate but I personally believe that the need for reinforcement learning for a static VQA task may be a potential weakness making the approach less data efficient and harder to train the models that use gradient descent.,NIPS_2020_257,"* In terms of novelty, note that both the motivation for the model as well as the initial parts of it hold similarities to some prior works. See detailed description in the relation to prior work section. * I would be happy to see results about generalization not only for the CLEVR dataset, but also for natural images datasets where there is larger variance both in the language and visual complexity. There are multiple datasets for generalization in VQA that can be used for that such as CP-VQA and also some splits of GQA. For the CLEVR dataset, the model is basically based on using an object detector to recognize the objects and their properties and build a semantic graph that represents the image. While other approaches that are compared to for this task use object detectors as well, there are many approaches for CLEVR (such as the Neural Module Network, Relation Network, MAC and FiLM) that do not use such strong supervision and therefore the comparison between these approaches in the experimental section is not completely valid. For better comparability, I would be interested to see generalization results when these models are also being fed with at least object-based bounding-boxes representations instead of the earlier commonly used spatial features, as is very common in VQA in the last years (see bottom-up attention networks). * This can be open for debate but I personally believe that the need for reinforcement learning for a static VQA task may be a potential weakness making the approach less data efficient and harder to train the models that use gradient descent.",3.0,2,"the review point lacks full grounding as it does not explicitly mention specific parts of the paper that are being addressed. the comment broadly discusses the usage of reinforcement learning for a static vqa task, but does not provide clear indicators of which sections or elements of the paper relate to this critique. likewise, the comment remains under-specified in terms of detailing exactly what the supposed issue is (e.g., specific problems with data efficiency or difficulties in training) within the context of the paper. authors may have difficulty pinpointing the exact part of their work that this applies to and understanding the detailed critique.",2,"the review point is weakly grounded and not specific. it raises a potential concern about the use of reinforcement learning for a static vqa task but does not specify which part of the paper this criticism is directed at. although it mentions a general topic (reinforcement learning for vqa tasks), it does not clearly identify a particular section, figure, or result in the paper that embodies this criticism. similarly, the comment lacks specificity about what exactly might be inefficient or hard about the models, nor does it provide suggestions on how this could be addressed or improved.",2,"the comment is weakly grounded because it does not specify any particular section or experiment where the use of reinforcement learning is discussed. it's also not specific, as it expresses a personal belief without detailing specific issues or providing examples of how this could impact model efficiency or training. therefore, it offers limited actionable guidance for the authors."
"• Approach. Computing optimal transport distance is generally an expensive procedure. While authors indicated that it takes seconds to compute it on 36 cores machine, it’s not clear how scalable this method is. I would like to see whether it scales on normal machines with a couple of cores. Moreover, how do you compute exactly optimal transport, because the Sinkhorn method gives you a doubly stochastic matrix (how do you go from it to optimal transport?).",ICLR_2021_1944,"I have several concerns regarding this paper.
• Novelty. The authors propose to use Ricci flow to compute the distance between nodes so that to sample edges with respect to that distance. Using Ricci flow for distance computation is a well-studied area (as indicated in related work). The only novel part is that each layer gets a new graph; however, this choice is not motivated (why not to train all layers of GNN on different graphs instead?) and has problems (see next).
• Approach. Computing optimal transport distance is generally an expensive procedure. While authors indicated that it takes seconds to compute it on 36 cores machine, it’s not clear how scalable this method is. I would like to see whether it scales on normal machines with a couple of cores. Moreover, how do you compute exactly optimal transport, because the Sinkhorn method gives you a doubly stochastic matrix (how do you go from it to optimal transport?).
• Algorithm. This is the most obscure part of the paper. First, it’s not indicated how many layers do you use in experiments. This is a major part of your algorithm because you claim that if an edge appears in several layers it means that it’s not adversarial (or that it does not harm your algorithm). In most of the baselines, there are at most 2-3 layers. There are theoretical limitations why GNN with many layers may not work in practice (see, the literature on “GNN oversmoothing”). Considering that you didn’t provide the code (can you provide an anonymized version of the code?) and that your baselines (GCN, GAT, etc.) have similar (or the same) performance as in the original papers (where the number of layers is 2-3), I deduce that your model Ricci-GNN also has this number of layers. With that said, I doubt that it’s possible to make any conclusive results about whether an edge is adversarial or not with 2-3 graphs. Moreover, I would expect to see an experiment on how your approach varies depending on the number of layers. This is a crucial part of your algorithm and not seeing discussion of it in the paper, raises concerns about the validity of experiments.
• Design choices. Another potential problem of your algorithm is that the sampled graphs can become dense. There are hyperparameters \sigma and \beta that control the probabilities and also you limit the sampling only for 2-hop neighborhoods (“To keep graph sparsity, we only sample edges between pairs that are within k hops of each other in G (we always take k = 2 in the experiments).” This is arbitrary and the effect of it on the performance is not clear. How did you select parameters \sigma and \beta? Why k=2? How do you ensure that the sampled graphs are similar to the original one? Does it matter that sampled graphs should have similar statistics to the original graph? I guess, this crucially affects the performance of your algorithm, so I would like to see more experiments on this.
• Datasets. Since this paper is mostly experimental, I would like to see a comparison of this model on more datasets (5-7 in total). Verifying on realistic but small datasets such as Cora and Citeseer limits our intuition about performance. For example, Cora is a single graph of 2.7K nodes. As indicated in [1], “Although small datasets are useful as sanity checks for new ideas, they can become a liability in the long run as new GNN models will be designed to overfit the small test sets instead of searching for more generalizable architectures.” There are many sources of real graphs, you can consider OGB [2] or [3].
• Weak baselines. Another major concern of the validity of the experiments is the choice of the baselines. Neither of GNN baselines (GCN, GAT, etc.) was designed for the defense of adversarial attacks, so choosing them for comparison is not fair. A comparison with previous works (indicated in “Adversarial attack on graphs.” in related work section) is necessary. Moreover, an experiment where you randomly sample edges (instead of using Ricci distance) is desirable to compare the performance against random sampling.
• Ablation. Since you use GCN, why the performance of Ricci-GCN is so different from GCN when there 0 perturbations? For Citeseer the absolute difference is 2% which is quite high for the same models. Also, an experiment with different choices of GNN is desirable.
• Training. Since experiments play important role in this paper, it’s important to give a fair setup for the models in comparison. You write “For each training procedure, we run 100 epochs and use the model trained at 100-th epoch.”. This can disadvantageous for many models. A better way would be to run each model setup until convergence on the training set, selecting the epoch using the validation set. Otherwise, your baselines could suffer from either underfitting or overfitting.
[1] https://arxiv.org/pdf/2003.00982.pdf [2] https://ogb.stanford.edu/ [3] https://paperswithcode.com/task/node-classification ==========
After reading the authors comments.
I applaud the authors for greatly improving their paper via the revision. Now the number of layers is specified and the explanation of having many sampled graphs during training is added, which was missing in the original text and was preventing a full understanding of the reasons why the proposed approach works. Overall, I am leaning toward increasing the score.
I still have several concerns about the practicality of Ricci-GNN. In simple words, the proposed approach uses some metric S (Ricci flow) that dictates how to sample graphs for training. The motivation for using Ricci flow is “that Ricci flow is a global process that tries to uncover the underlying metric space supported by the graph topology and thus embraces redundancy”. This claim cites previous papers, which in turn do not discuss what exactly is meant by “a global process that tries to uncover the underlying metric space”. Spectral embeddings also can be considered as a global metric, so some analysis on what properties of Ricci flow makes it more robust to attacks would be appreciated. Also including random sampling in comparison would confirm that the effect is coming not from the fact that you use more graphs during the training, but from how you sample those graphs. In addition, as the paper is empirical and relies on the properties of Ricci flow which was discussed in previous works and was not addressed in the context of adversarial attacks, having more datasets (especially larger ones) in the experiments would improve the paper.",3.0,5,"the comment is fully grounded and specific. it references the part of the paper where the authors mention the computation of the optimal transport distance, specifically noting that it takes seconds on a 36-core machine. the reviewer also explicitly requests clarification on the scalability of the method to less powerful machines, providing a clear path for the authors to address this in their paper. furthermore, the reviewer asks for specifics on the computation method, mentioning the use of the sinkhorn method and its potential output as a doubly stochastic matrix, which adds specificity to what needs further explanation. this precision will be highly useful for authors wanting to improve their draft.",5,"this comment is fully grounded and specific. the reviewer explicitly identifies the part of the paper they are addressing, which is the approach to computing the optimal transport distance. they question its scalability and provide specific suggestions on what needs to be addressed, including how the method scales on a machine with fewer cores and clarification on the computation method related to the sinkhorn method. the authors can easily identify the relevant section and understand the specific issues raised.",5,"the comment is fully grounded as it references the specific part of the paper, likely under the 'approach' section or discussing the computation of optimal transport distance. it is also specific in detailing what needs to be addressed, such as scalability concerns and the specifics of the computation method used."
